full_name,ticker,date,open,high,low,close,average_price,volume
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-11-27,5.01,5.015,5.005,5.01375,5.01,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-11-28,5.01125,5.0125,5.005,5.01125,5.00875,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-11-29,5.01125,5.01125,4.99,5.0,5.000625,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-11-30,4.99875,5.02375,4.99,5.0,5.006875,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-01,5.0,5.0325,4.98,5.015,5.00625,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-04,5.00625,5.015,4.995,5.005,5.005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-05,5.0075,5.015,5.0,5.01,5.0075,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-06,5.01625,5.045,5.015,5.015,5.029999999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-07,5.01875,5.025,5.0025,5.015,5.01375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-08,5.01125,5.0175,5.005,5.01,5.01125,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-11,5.0125,5.0225,5.0125,5.015,5.0175,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-12,5.02125,5.0225,5.005,5.005,5.01375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-13,5.0075,5.0175,4.9875,5.01375,5.0024999999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-14,5.01625,5.025,5.0075,5.01875,5.01625,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-15,5.02125,5.03,5.00875,5.01875,5.019375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-18,5.02125,5.02625,5.01625,5.02125,5.02125,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-19,5.01875,5.0225,5.005,5.005,5.01375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-20,5.005,5.00625,4.9925,4.99625,4.999375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-21,4.99625,5.0,4.99,4.99625,4.995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-22,4.995,4.9975,4.99125,4.995,4.994375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-27,4.99625,5.01,4.995,5.005,5.0024999999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-28,5.0075,5.0075,5.0,5.005,5.00375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2017-12-29,5.00875,5.01125,5.005,5.00875,5.008125,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-02,5.005,5.0125,4.99625,4.9975,5.004375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-03,4.9925,5.0075,4.9925,5.00625,5.0,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-04,5.0,5.005,4.98625,5.0025,4.995625,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-05,5.005,5.01,4.98875,5.00125,4.999375,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-08,5.0015,5.0085,4.994,5.0025,5.00125,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-09,4.999,5.0065,4.991,4.998,4.998749999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-10,5.03,5.03,4.9825,4.99,5.00625,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-11,4.9935,4.9985,4.9815,4.984,4.99,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-12,4.9885,4.9945,4.978,4.9855,4.98625,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-15,4.9905,4.996,4.9875,4.9935,4.99175,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-16,4.993,4.999,4.989,4.994,4.994,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-17,4.991,4.9945,4.987,4.9895,4.99075,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-18,4.9855,4.986,4.98,4.983,4.9830000000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-19,4.9805,4.989,4.9785,4.9825,4.983750000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-22,4.981,4.9855,4.9775,4.9855,4.9815000000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-23,4.984,4.989,4.982,4.988,4.9855,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-24,4.985,4.9875,4.977,4.9805,4.9822500000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-25,4.981,5.0055,4.956,4.976,4.9807500000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-26,4.9815,4.984,4.9755,4.977,4.97975,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-29,4.971,4.973,4.965,4.966,4.968999999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-30,4.969,4.976,4.965,4.97,4.9704999999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-01-31,4.971,4.9945,4.9655,4.968,4.98,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-02-01,4.964,4.99,4.943,4.97,4.9665,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-02-02,4.9565,4.982,4.9335,4.9525,4.957750000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2018-02-05,4.95,4.959,4.9495,4.95,4.95425,0
