full_name,ticker,date,open,high,low,close,average_price,volume
AUDHKD,AUDHKD,2007-09-27,6.82155,6.85395,6.8077,6.8288,6.830825,0
AUDHKD,AUDHKD,2007-09-28,6.8301,6.9083,6.8194,6.903,6.863849999999999,0
AUDHKD,AUDHKD,2007-10-01,6.9053,6.95305,6.8792,6.9492,6.916125,0
AUDHKD,AUDHKD,2007-10-02,6.94665,6.9531,6.8388,6.8587,6.89595,0
AUDHKD,AUDHKD,2007-10-03,6.8579,6.91925,6.8363,6.8526,6.877775,0
AUDHKD,AUDHKD,2007-10-04,6.8509,6.9049,6.8255,6.88975,6.8652,0
AUDHKD,AUDHKD,2007-10-05,6.8931,6.9851,6.8781,6.96085,6.9315999999999995,0
AUDHKD,AUDHKD,2007-10-08,6.984,7.01015,6.91855,6.9331,6.96435,0
AUDHKD,AUDHKD,2007-10-09,6.9324,6.9905,6.91695,6.9889,6.953725,0
AUDHKD,AUDHKD,2007-10-10,6.992,6.9938,6.935,6.9656,6.9643999999999995,0
AUDHKD,AUDHKD,2007-10-11,6.96335,7.02635,6.95475,6.984,6.99055,0
AUDHKD,AUDHKD,2007-10-12,6.9861,7.0186,6.9406,7.0157,6.9796,0
AUDHKD,AUDHKD,2007-10-15,7.022,7.038,6.9459,6.9691,6.99195,0
AUDHKD,AUDHKD,2007-10-16,6.97945,6.9877,6.8416,6.88995,6.91465,0
AUDHKD,AUDHKD,2007-10-17,6.8896,6.9562,6.83495,6.91005,6.895575,0
AUDHKD,AUDHKD,2007-10-18,6.9022,6.95515,6.8855,6.9472,6.920325,0
AUDHKD,AUDHKD,2007-10-19,6.9478,6.954,6.898,6.9017,6.926,0
AUDHKD,AUDHKD,2007-10-22,6.8779,6.9112,6.7837,6.8692,6.84745,0
AUDHKD,AUDHKD,2007-10-23,6.8663,6.96545,6.8634,6.96475,6.914425,0
AUDHKD,AUDHKD,2007-10-24,6.96465,7.014,6.9262,6.9987,6.9701,0
AUDHKD,AUDHKD,2007-10-25,7.00005,7.04605,6.9844,7.04425,7.015225,0
AUDHKD,AUDHKD,2007-10-26,7.044,7.1209,7.03495,7.11855,7.0779250000000005,0
AUDHKD,AUDHKD,2007-10-29,7.1411,7.1872,7.12005,7.14115,7.153625,0
AUDHKD,AUDHKD,2007-10-30,7.1414,7.15945,7.08935,7.1216,7.1244,0
AUDHKD,AUDHKD,2007-10-31,7.12215,7.24285,7.11515,7.2399,7.179,0
AUDHKD,AUDHKD,2007-11-01,7.2364,7.2395,7.06425,7.0763,7.151875,0
AUDHKD,AUDHKD,2007-11-02,7.078,7.1742,7.0717,7.16205,7.1229499999999994,0
AUDHKD,AUDHKD,2007-11-05,7.14535,7.1643,7.11125,7.14765,7.1377749999999995,0
AUDHKD,AUDHKD,2007-11-06,7.1467,7.2165,7.1465,7.2123,7.1815,0
AUDHKD,AUDHKD,2007-11-07,7.2011,7.30315,7.1975,7.206,7.250325,0
AUDHKD,AUDHKD,2007-11-08,7.1838,7.24745,7.1349,7.2028,7.191174999999999,0
AUDHKD,AUDHKD,2007-11-09,7.2031,7.24495,7.08145,7.0936,7.1632,0
AUDHKD,AUDHKD,2007-11-12,7.02095,7.07375,6.8267,6.8274,6.950225,0
AUDHKD,AUDHKD,2007-11-13,6.85135,6.9892,6.8386,6.9707,6.9139,0
AUDHKD,AUDHKD,2007-11-14,6.9826,7.0639,6.9707,6.97295,7.0173000000000005,0
AUDHKD,AUDHKD,2007-11-15,6.9665,7.0207,6.89015,6.89555,6.955425,0
AUDHKD,AUDHKD,2007-11-16,6.894,6.9617,6.8602,6.9504,6.91095,0
AUDHKD,AUDHKD,2007-11-19,6.9592,7.0037,6.86655,6.87625,6.935125,0
AUDHKD,AUDHKD,2007-11-20,6.86485,6.9542,6.8167,6.9484,6.8854500000000005,0
AUDHKD,AUDHKD,2007-11-21,6.9401,6.9714,6.7336,6.7637,6.8525,0
AUDHKD,AUDHKD,2007-11-22,6.78245,6.8379,6.75435,6.78085,6.796125,0
AUDHKD,AUDHKD,2007-11-23,6.7845,6.8291,6.754,6.82625,6.79155,0
AUDHKD,AUDHKD,2007-11-26,6.83425,6.8986,6.7467,6.7694,6.822649999999999,0
AUDHKD,AUDHKD,2007-11-27,6.7745,6.85975,6.75895,6.8299,6.80935,0
AUDHKD,AUDHKD,2007-11-28,6.8282,6.9467,6.7869,6.9272,6.8668,0
AUDHKD,AUDHKD,2007-11-29,6.929,6.9327,6.8333,6.8633,6.883,0
AUDHKD,AUDHKD,2007-11-30,6.8639,6.9294,6.8562,6.8864,6.8928,0
AUDHKD,AUDHKD,2007-12-03,6.88025,6.89545,6.84335,6.86065,6.869400000000001,0
AUDHKD,AUDHKD,2007-12-04,6.8583,6.8649,6.7869,6.8063,6.8259,0
AUDHKD,AUDHKD,2007-12-05,6.8081,6.8127,6.7523,6.78215,6.782500000000001,0
AUDHKD,AUDHKD,2007-12-06,6.7882,6.85055,6.7753,6.84955,6.812925,0
AUDHKD,AUDHKD,2007-12-07,6.8519,6.88155,6.81525,6.8282,6.8484,0
AUDHKD,AUDHKD,2007-12-10,6.814,6.9079,6.814,6.8985,6.86095,0
AUDHKD,AUDHKD,2007-12-11,6.9061,6.9378,6.79305,6.8116,6.865425,0
AUDHKD,AUDHKD,2007-12-12,6.8204,6.9453,6.81025,6.88675,6.877775,0
AUDHKD,AUDHKD,2007-12-13,6.8917,6.91605,6.8104,6.8296,6.863225,0
AUDHKD,AUDHKD,2007-12-14,6.8358,6.8574,6.70875,6.7113,6.783075,0
AUDHKD,AUDHKD,2007-12-17,6.725,6.74715,6.6748,6.68295,6.710975,0
AUDHKD,AUDHKD,2007-12-18,6.6783,6.7438,6.6741,6.7116,6.70895,0
AUDHKD,AUDHKD,2007-12-19,6.7132,6.73925,6.6777,6.7006,6.708475,0
AUDHKD,AUDHKD,2007-12-20,6.6992,6.7122,6.6856,6.70245,6.6989,0
AUDHKD,AUDHKD,2007-12-21,6.70015,6.7868,6.6926,6.7663,6.7397,0
AUDHKD,AUDHKD,2007-12-24,6.7718,6.8062,6.7663,6.8001,6.78625,0
AUDHKD,AUDHKD,2007-12-26,6.80045,6.82725,6.7976,6.8239,6.812425,0
AUDHKD,AUDHKD,2007-12-27,6.82255,6.8605,6.79255,6.8503,6.826525,0
AUDHKD,AUDHKD,2007-12-28,6.8468,6.8564,6.8006,6.83765,6.8285,0
AUDHKD,AUDHKD,2007-12-31,6.8425,6.8873,6.8207,6.82665,6.854,0
AUDHKD,AUDHKD,2008-01-02,6.8346,6.914,6.8337,6.9018,6.87385,0
AUDHKD,AUDHKD,2008-01-03,6.9037,6.9113,6.85745,6.8718,6.884375,0
AUDHKD,AUDHKD,2008-01-04,6.8737,6.8942,6.7885,6.8049,6.84135,0
AUDHKD,AUDHKD,2008-01-07,6.80825,6.82635,6.77475,6.80895,6.800549999999999,0
AUDHKD,AUDHKD,2008-01-08,6.80445,6.8959,6.7897,6.8549,6.8428,0
AUDHKD,AUDHKD,2008-01-09,6.8591,6.91505,6.8559,6.8948,6.885475,0
AUDHKD,AUDHKD,2008-01-10,6.8942,7.0045,6.8781,6.9872,6.9413,0
AUDHKD,AUDHKD,2008-01-11,6.9848,7.00035,6.9471,6.9541,6.973725,0
AUDHKD,AUDHKD,2008-01-14,6.95005,7.02635,6.9097,7.0211,6.968025,0
AUDHKD,AUDHKD,2008-01-15,7.0199,7.0359,6.8663,6.8698,6.9511,0
AUDHKD,AUDHKD,2008-01-16,6.8573,6.91365,6.8181,6.85845,6.865875,0
AUDHKD,AUDHKD,2008-01-17,6.8585,6.93155,6.8385,6.8432,6.885025,0
AUDHKD,AUDHKD,2008-01-18,6.847,6.91155,6.7936,6.8634,6.852575,0
AUDHKD,AUDHKD,2008-01-21,6.8733,6.8856,6.71465,6.7313,6.8001249999999995,0
AUDHKD,AUDHKD,2008-01-22,6.7356,6.8121,6.6476,6.78055,6.72985,0
AUDHKD,AUDHKD,2008-01-23,6.78,6.8302,6.7237,6.81615,6.776949999999999,0
AUDHKD,AUDHKD,2008-01-24,6.8184,6.8878,6.7854,6.8857,6.836600000000001,0
AUDHKD,AUDHKD,2008-01-25,6.8883,6.9133,6.8501,6.86705,6.8817,0
AUDHKD,AUDHKD,2008-01-28,6.8678,6.9421,6.8458,6.9409,6.89395,0
AUDHKD,AUDHKD,2008-01-29,6.9419,6.94955,6.9143,6.94035,6.931925,0
AUDHKD,AUDHKD,2008-01-30,6.9338,7.0353,6.91315,6.9671,6.974225000000001,0
