full_name,ticker,date,open,high,low,close,average_price,volume
AUDSGD,AUDSGD,2009-07-15,1.15905,1.1692,1.1538,1.16555,1.1615,0
AUDSGD,AUDSGD,2009-07-16,1.16655,1.171,1.15745,1.1694,1.164225,0
AUDSGD,AUDSGD,2009-07-17,1.16935,1.16935,1.15645,1.1643,1.1629,0
AUDSGD,AUDSGD,2009-07-20,1.16185,1.1775,1.16145,1.17595,1.169475,0
AUDSGD,AUDSGD,2009-07-21,1.1769,1.17975,1.168,1.1791,1.173875,0
AUDSGD,AUDSGD,2009-07-22,1.17885,1.1835,1.1701,1.17615,1.1768,0
AUDSGD,AUDSGD,2009-07-23,1.17685,1.18385,1.1687,1.1715,1.176275,0
AUDSGD,AUDSGD,2009-07-24,1.17235,1.1795,1.1717,1.17685,1.1756,0
AUDSGD,AUDSGD,2009-07-27,1.17825,1.1891,1.1745,1.18455,1.1818,0
AUDSGD,AUDSGD,2009-07-28,1.1851,1.19895,1.18255,1.19165,1.19075,0
AUDSGD,AUDSGD,2009-07-29,1.19225,1.19285,1.1761,1.18315,1.184475,0
AUDSGD,AUDSGD,2009-07-30,1.18145,1.1953,1.17875,1.1924,1.187025,0
AUDSGD,AUDSGD,2009-07-31,1.1925,1.204,1.1889,1.2029,1.19645,0
AUDSGD,AUDSGD,2009-08-03,1.20395,1.20845,1.2004,1.2064,1.204425,0
AUDSGD,AUDSGD,2009-08-04,1.2065,1.21365,1.20175,1.21,1.2077,0
AUDSGD,AUDSGD,2009-08-05,1.21,1.2121,1.20045,1.20495,1.206275,0
AUDSGD,AUDSGD,2009-08-06,1.2042,1.21165,1.2023,1.2063,1.206975,0
AUDSGD,AUDSGD,2009-08-07,1.20605,1.21305,1.1995,1.20605,1.206275,0
AUDSGD,AUDSGD,2009-08-10,1.20185,1.2149,1.2003,1.20935,1.2076,0
AUDSGD,AUDSGD,2009-08-11,1.2088,1.2116,1.19775,1.2005,1.204675,0
AUDSGD,AUDSGD,2009-08-12,1.20185,1.20835,1.1868,1.2038,1.197575,0
AUDSGD,AUDSGD,2009-08-13,1.2034,1.21875,1.20175,1.215,1.21025,0
