full_name,ticker,date,open,high,low,close,average_price,volume
AUDUSD,AUDUSD,2005-03-09,0.79265,0.7983,0.7913,0.7969,0.7948,0
AUDUSD,AUDUSD,2005-03-10,0.7968,0.79745,0.78715,0.7902,0.7923,0
AUDUSD,AUDUSD,2005-03-11,0.7903,0.7948,0.78905,0.793,0.791925,0
AUDUSD,AUDUSD,2005-03-13,0.7931,0.7932,0.7911,0.7928,0.79215,0
AUDUSD,AUDUSD,2005-03-14,0.7929,0.7932,0.78605,0.7889,0.789625,0
AUDUSD,AUDUSD,2005-03-15,0.789,0.79395,0.78705,0.78905,0.7905,0
AUDUSD,AUDUSD,2005-03-16,0.78915,0.7957,0.7886,0.79315,0.7921499999999999,0
AUDUSD,AUDUSD,2005-03-17,0.7931,0.7942,0.7906,0.79275,0.7924,0
AUDUSD,AUDUSD,2005-03-18,0.79285,0.79515,0.7886,0.7949,0.791875,0
AUDUSD,AUDUSD,2005-03-20,0.7936,0.79405,0.79065,0.79175,0.79235,0
AUDUSD,AUDUSD,2005-03-21,0.79185,0.7937,0.78365,0.78455,0.788675,0
AUDUSD,AUDUSD,2005-03-22,0.7845,0.7928,0.77755,0.77995,0.785175,0
AUDUSD,AUDUSD,2005-03-23,0.78005,0.78095,0.7698,0.7729,0.775375,0
AUDUSD,AUDUSD,2005-03-24,0.77285,0.77395,0.7704,0.77195,0.7721750000000001,0
AUDUSD,AUDUSD,2005-03-25,0.77215,0.77385,0.7711,0.7714,0.772475,0
AUDUSD,AUDUSD,2005-03-27,0.7718,0.7722,0.76805,0.76965,0.770125,0
AUDUSD,AUDUSD,2005-03-28,0.7697,0.77165,0.76695,0.77085,0.7693,0
AUDUSD,AUDUSD,2005-03-29,0.77095,0.7751,0.76965,0.7724,0.772375,0
AUDUSD,AUDUSD,2005-03-30,0.77225,0.7742,0.7692,0.77145,0.7717,0
AUDUSD,AUDUSD,2005-03-31,0.77155,0.7776,0.7712,0.7731,0.7744,0
AUDUSD,AUDUSD,2005-04-01,0.773,0.7764,0.7683,0.77125,0.77235,0
AUDUSD,AUDUSD,2005-04-03,0.7686,0.7708,0.7686,0.7707,0.7697,0
AUDUSD,AUDUSD,2005-04-04,0.7706,0.7708,0.76405,0.76465,0.767425,0
AUDUSD,AUDUSD,2005-04-05,0.7647,0.7698,0.7628,0.76615,0.7663,0
AUDUSD,AUDUSD,2005-04-06,0.76605,0.7684,0.76265,0.7677,0.765525,0
AUDUSD,AUDUSD,2005-04-07,0.76775,0.7708,0.76505,0.7664,0.767925,0
AUDUSD,AUDUSD,2005-04-08,0.76645,0.7736,0.7649,0.77175,0.76925,0
AUDUSD,AUDUSD,2005-04-10,0.7716,0.77255,0.77045,0.77205,0.7715,0
AUDUSD,AUDUSD,2005-04-11,0.77215,0.77575,0.77165,0.77535,0.7737,0
AUDUSD,AUDUSD,2005-04-12,0.77535,0.7774,0.772,0.77615,0.7746999999999999,0
AUDUSD,AUDUSD,2005-04-13,0.77615,0.7804,0.77405,0.77415,0.777225,0
AUDUSD,AUDUSD,2005-04-14,0.7742,0.7754,0.76655,0.76775,0.770975,0
AUDUSD,AUDUSD,2005-04-15,0.7677,0.7723,0.76515,0.7683,0.768725,0
AUDUSD,AUDUSD,2005-04-17,0.7687,0.76965,0.76405,0.76455,0.76685,0
AUDUSD,AUDUSD,2005-04-18,0.76465,0.76885,0.7635,0.76725,0.766175,0
AUDUSD,AUDUSD,2005-04-19,0.76715,0.77355,0.7647,0.77315,0.7691250000000001,0
AUDUSD,AUDUSD,2005-04-20,0.7731,0.7772,0.771,0.77565,0.7741,0
AUDUSD,AUDUSD,2005-04-21,0.77575,0.7772,0.7735,0.77555,0.77535,0
AUDUSD,AUDUSD,2005-04-22,0.77555,0.7832,0.77555,0.78125,0.7793749999999999,0
AUDUSD,AUDUSD,2005-04-24,0.7818,0.7818,0.77915,0.77995,0.780475,0
AUDUSD,AUDUSD,2005-04-25,0.78005,0.7819,0.7778,0.78055,0.77985,0
AUDUSD,AUDUSD,2005-04-26,0.78055,0.7813,0.77485,0.77545,0.7780750000000001,0
AUDUSD,AUDUSD,2005-04-27,0.77535,0.7784,0.77435,0.77695,0.776375,0
AUDUSD,AUDUSD,2005-04-28,0.7769,0.7821,0.7767,0.77865,0.7794,0
AUDUSD,AUDUSD,2005-04-29,0.77875,0.7841,0.77825,0.7813,0.781175,0
AUDUSD,AUDUSD,2005-05-01,0.7802,0.7804,0.77915,0.77955,0.779775,0
AUDUSD,AUDUSD,2005-05-02,0.77965,0.7813,0.77705,0.77715,0.779175,0
AUDUSD,AUDUSD,2005-05-03,0.77725,0.7778,0.7722,0.77635,0.775,0
AUDUSD,AUDUSD,2005-05-04,0.7763,0.78165,0.7761,0.77785,0.778875,0
AUDUSD,AUDUSD,2005-05-05,0.77795,0.7827,0.77785,0.77925,0.780275,0
AUDUSD,AUDUSD,2005-05-06,0.77935,0.7802,0.7744,0.77525,0.7773,0
AUDUSD,AUDUSD,2005-05-08,0.7737,0.77525,0.77325,0.77385,0.77425,0
AUDUSD,AUDUSD,2005-05-09,0.77375,0.77485,0.7711,0.77465,0.772975,0
AUDUSD,AUDUSD,2005-05-10,0.77455,0.77725,0.7721,0.77585,0.774675,0
AUDUSD,AUDUSD,2005-05-11,0.77605,0.7792,0.77205,0.77275,0.775625,0
AUDUSD,AUDUSD,2005-05-12,0.77285,0.77365,0.76425,0.7651,0.76895,0
AUDUSD,AUDUSD,2005-05-13,0.76495,0.7661,0.76025,0.76135,0.7631749999999999,0
AUDUSD,AUDUSD,2005-05-15,0.7683,0.76835,0.7577,0.7581,0.7630250000000001,0
AUDUSD,AUDUSD,2005-05-16,0.75825,0.7587,0.75375,0.75765,0.756225,0
AUDUSD,AUDUSD,2005-05-17,0.75775,0.7587,0.75305,0.75505,0.7558750000000001,0
AUDUSD,AUDUSD,2005-05-18,0.75515,0.76185,0.7545,0.75915,0.758175,0
AUDUSD,AUDUSD,2005-05-19,0.75925,0.7601,0.7562,0.75925,0.75815,0
AUDUSD,AUDUSD,2005-05-20,0.7592,0.7608,0.7535,0.75605,0.75715,0
AUDUSD,AUDUSD,2005-05-22,0.7548,0.75665,0.75405,0.75655,0.75535,0
AUDUSD,AUDUSD,2005-05-23,0.7565,0.76025,0.7552,0.7593,0.757725,0
AUDUSD,AUDUSD,2005-05-24,0.7592,0.7639,0.75865,0.76045,0.761275,0
AUDUSD,AUDUSD,2005-05-25,0.76055,0.76475,0.7584,0.76315,0.761575,0
AUDUSD,AUDUSD,2005-05-26,0.76325,0.76335,0.75795,0.75865,0.76065,0
AUDUSD,AUDUSD,2005-05-27,0.7587,0.7635,0.75845,0.76305,0.760975,0
AUDUSD,AUDUSD,2005-05-29,0.7615,0.76275,0.76035,0.76235,0.76155,0
AUDUSD,AUDUSD,2005-05-30,0.76225,0.7634,0.75425,0.75555,0.758825,0
AUDUSD,AUDUSD,2005-05-31,0.75535,0.7594,0.75405,0.75645,0.756725,0
AUDUSD,AUDUSD,2005-06-01,0.75655,0.7567,0.74745,0.7509,0.752075,0
AUDUSD,AUDUSD,2005-06-02,0.7508,0.75675,0.7496,0.75625,0.753175,0
AUDUSD,AUDUSD,2005-06-03,0.75615,0.7606,0.7536,0.7565,0.7571000000000001,0
AUDUSD,AUDUSD,2005-06-05,0.7555,0.75785,0.7554,0.75785,0.756625,0
AUDUSD,AUDUSD,2005-06-06,0.75795,0.7663,0.75785,0.76565,0.7620750000000001,0
AUDUSD,AUDUSD,2005-06-07,0.76575,0.77045,0.76505,0.76695,0.7677499999999999,0
AUDUSD,AUDUSD,2005-06-08,0.7669,0.7704,0.7641,0.76675,0.76725,0
AUDUSD,AUDUSD,2005-06-09,0.76665,0.7689,0.76525,0.76585,0.767075,0
AUDUSD,AUDUSD,2005-06-10,0.76575,0.7677,0.7608,0.76125,0.7642500000000001,0
AUDUSD,AUDUSD,2005-06-12,0.7623,0.7624,0.76015,0.76165,0.7612749999999999,0
AUDUSD,AUDUSD,2005-06-13,0.76175,0.76535,0.759,0.76375,0.762175,0
AUDUSD,AUDUSD,2005-06-14,0.76365,0.7682,0.76215,0.76345,0.7651749999999999,0
AUDUSD,AUDUSD,2005-06-15,0.76355,0.77035,0.76285,0.76775,0.7666,0
AUDUSD,AUDUSD,2005-06-16,0.76785,0.7744,0.7662,0.77195,0.7703,0
AUDUSD,AUDUSD,2005-06-17,0.77195,0.77825,0.77155,0.77785,0.7748999999999999,0
AUDUSD,AUDUSD,2005-06-19,0.7755,0.77875,0.7755,0.77815,0.7771250000000001,0
AUDUSD,AUDUSD,2005-06-20,0.77825,0.7792,0.77465,0.77545,0.776925,0
AUDUSD,AUDUSD,2005-06-21,0.7754,0.78095,0.7725,0.77835,0.776725,0
AUDUSD,AUDUSD,2005-06-22,0.77825,0.7798,0.7748,0.77835,0.7773000000000001,0
AUDUSD,AUDUSD,2005-06-23,0.77835,0.77855,0.76905,0.7709,0.7738,0
AUDUSD,AUDUSD,2005-06-24,0.7708,0.7745,0.7666,0.76935,0.77055,0
AUDUSD,AUDUSD,2005-06-26,0.7695,0.7698,0.76745,0.76915,0.768625,0
AUDUSD,AUDUSD,2005-06-27,0.76915,0.77035,0.767,0.76775,0.768675,0
AUDUSD,AUDUSD,2005-06-28,0.76785,0.7695,0.7621,0.76275,0.7658,0
AUDUSD,AUDUSD,2005-06-29,0.76265,0.76405,0.7585,0.76375,0.7612749999999999,0
AUDUSD,AUDUSD,2005-06-30,0.76385,0.76465,0.7587,0.76115,0.7616750000000001,0
AUDUSD,AUDUSD,2005-07-01,0.76125,0.76155,0.74955,0.75185,0.7555499999999999,0
AUDUSD,AUDUSD,2005-07-03,0.7507,0.7508,0.74755,0.74835,0.749175,0
AUDUSD,AUDUSD,2005-07-04,0.74825,0.7519,0.74815,0.7485,0.7500249999999999,0
AUDUSD,AUDUSD,2005-07-05,0.74855,0.75035,0.7391,0.74195,0.744725,0
AUDUSD,AUDUSD,2005-07-06,0.74205,0.7445,0.73655,0.73885,0.7405250000000001,0
AUDUSD,AUDUSD,2005-07-07,0.73895,0.74675,0.73735,0.73835,0.74205,0
AUDUSD,AUDUSD,2005-07-08,0.7383,0.7444,0.7367,0.74185,0.74055,0
AUDUSD,AUDUSD,2005-07-10,0.7423,0.74385,0.7419,0.74315,0.742875,0
AUDUSD,AUDUSD,2005-07-11,0.74325,0.7506,0.74295,0.75045,0.746775,0
AUDUSD,AUDUSD,2005-07-12,0.7505,0.7576,0.7496,0.75485,0.7536,0
AUDUSD,AUDUSD,2005-07-13,0.75495,0.75595,0.7471,0.75075,0.751525,0
AUDUSD,AUDUSD,2005-07-14,0.75065,0.7539,0.75015,0.75125,0.7520249999999999,0
AUDUSD,AUDUSD,2005-07-15,0.75125,0.7536,0.7474,0.74945,0.7505,0
AUDUSD,AUDUSD,2005-07-17,0.7485,0.75025,0.7478,0.74895,0.749025,0
AUDUSD,AUDUSD,2005-07-18,0.74905,0.7548,0.7475,0.75345,0.75115,0
AUDUSD,AUDUSD,2005-07-19,0.75355,0.75375,0.748,0.75195,0.750875,0
AUDUSD,AUDUSD,2005-07-20,0.75185,0.7601,0.7506,0.75815,0.75535,0
AUDUSD,AUDUSD,2005-07-21,0.7581,0.76665,0.75785,0.76485,0.7622500000000001,0
AUDUSD,AUDUSD,2005-07-22,0.7648,0.7687,0.76325,0.76325,0.7659750000000001,0
AUDUSD,AUDUSD,2005-07-24,0.76425,0.7643,0.7619,0.76325,0.7631,0
AUDUSD,AUDUSD,2005-07-25,0.76335,0.7647,0.7583,0.76035,0.7615000000000001,0
AUDUSD,AUDUSD,2005-07-26,0.76045,0.7614,0.75535,0.75565,0.758375,0
AUDUSD,AUDUSD,2005-07-27,0.7556,0.7576,0.7529,0.7553,0.75525,0
AUDUSD,AUDUSD,2005-07-28,0.75525,0.76085,0.7536,0.75975,0.757225,0
AUDUSD,AUDUSD,2005-07-29,0.75965,0.7623,0.7561,0.7566,0.7592,0
AUDUSD,AUDUSD,2005-07-31,0.7561,0.75965,0.73255,0.75875,0.7461,0
AUDUSD,AUDUSD,2005-08-01,0.75865,0.76355,0.75855,0.76265,0.76105,0
AUDUSD,AUDUSD,2005-08-02,0.76275,0.76665,0.76255,0.7633,0.7646,0
AUDUSD,AUDUSD,2005-08-03,0.7632,0.7745,0.7624,0.77145,0.76845,0
AUDUSD,AUDUSD,2005-08-04,0.77155,0.774,0.76925,0.7696,0.771625,0
AUDUSD,AUDUSD,2005-08-05,0.7697,0.7714,0.7661,0.76835,0.76875,0
AUDUSD,AUDUSD,2005-08-07,0.7678,0.76865,0.76375,0.76395,0.7662,0
AUDUSD,AUDUSD,2005-08-08,0.76405,0.7679,0.76345,0.76425,0.765675,0
AUDUSD,AUDUSD,2005-08-09,0.76435,0.7659,0.7585,0.76225,0.7622,0
AUDUSD,AUDUSD,2005-08-10,0.7622,0.7684,0.762,0.76805,0.7652,0
AUDUSD,AUDUSD,2005-08-11,0.76795,0.7748,0.76785,0.77245,0.771325,0
AUDUSD,AUDUSD,2005-08-12,0.77255,0.7755,0.7706,0.77175,0.77305,0
AUDUSD,AUDUSD,2005-08-14,0.7732,0.77435,0.7712,0.77165,0.772775,0
AUDUSD,AUDUSD,2005-08-15,0.7716,0.7733,0.76595,0.76675,0.769625,0
AUDUSD,AUDUSD,2005-08-16,0.7667,0.77075,0.76465,0.7651,0.7677,0
AUDUSD,AUDUSD,2005-08-17,0.76515,0.76605,0.75905,0.76025,0.7625500000000001,0
AUDUSD,AUDUSD,2005-08-18,0.76035,0.7612,0.75115,0.75285,0.756175,0
AUDUSD,AUDUSD,2005-08-19,0.7528,0.754,0.74965,0.75135,0.751825,0
AUDUSD,AUDUSD,2005-08-21,0.7516,0.7528,0.75105,0.75255,0.751925,0
AUDUSD,AUDUSD,2005-08-22,0.7525,0.7566,0.7523,0.75435,0.7544500000000001,0
AUDUSD,AUDUSD,2005-08-23,0.7543,0.7569,0.754,0.7546,0.75545,0
AUDUSD,AUDUSD,2005-08-24,0.75465,0.75885,0.7511,0.75865,0.754975,0
AUDUSD,AUDUSD,2005-08-25,0.75855,0.7614,0.7572,0.75825,0.7593,0
AUDUSD,AUDUSD,2005-08-26,0.7583,0.7604,0.75505,0.75595,0.757725,0
AUDUSD,AUDUSD,2005-08-28,0.7554,0.75765,0.75425,0.75495,0.75595,0
AUDUSD,AUDUSD,2005-08-29,0.75505,0.75665,0.74815,0.74915,0.7524,0
AUDUSD,AUDUSD,2005-08-30,0.74925,0.7504,0.74635,0.74785,0.748375,0
AUDUSD,AUDUSD,2005-08-31,0.74775,0.75565,0.7457,0.7546,0.750675,0
AUDUSD,AUDUSD,2005-09-01,0.75455,0.7637,0.7542,0.76255,0.75895,0
AUDUSD,AUDUSD,2005-09-02,0.76245,0.7665,0.7617,0.76505,0.7641,0
AUDUSD,AUDUSD,2005-09-04,0.7639,0.76955,0.7639,0.76815,0.766725,0
AUDUSD,AUDUSD,2005-09-05,0.76815,0.7695,0.76605,0.76645,0.767775,0
AUDUSD,AUDUSD,2005-09-06,0.76635,0.7697,0.7648,0.76715,0.76725,0
AUDUSD,AUDUSD,2005-09-07,0.76705,0.77025,0.76525,0.76915,0.7677499999999999,0
AUDUSD,AUDUSD,2005-09-08,0.7692,0.7733,0.7681,0.77085,0.7706999999999999,0
AUDUSD,AUDUSD,2005-09-09,0.77095,0.77565,0.7707,0.77505,0.773175,0
AUDUSD,AUDUSD,2005-09-11,0.7749,0.77625,0.77175,0.7721,0.774,0
AUDUSD,AUDUSD,2005-09-12,0.77215,0.7733,0.76715,0.77005,0.7702249999999999,0
AUDUSD,AUDUSD,2005-09-13,0.77,0.77145,0.7671,0.77085,0.7692749999999999,0
AUDUSD,AUDUSD,2005-09-14,0.77075,0.7736,0.76815,0.76855,0.770875,0
AUDUSD,AUDUSD,2005-09-15,0.76845,0.7712,0.76435,0.76775,0.767775,0
AUDUSD,AUDUSD,2005-09-16,0.76785,0.7706,0.76565,0.76775,0.768125,0
AUDUSD,AUDUSD,2005-09-18,0.73455,0.76605,0.73455,0.7652,0.7503,0
AUDUSD,AUDUSD,2005-09-19,0.76505,0.76945,0.76145,0.76895,0.76545,0
AUDUSD,AUDUSD,2005-09-20,0.7689,0.77135,0.7656,0.7684,0.768475,0
AUDUSD,AUDUSD,2005-09-21,0.7683,0.77305,0.768,0.76885,0.770525,0
AUDUSD,AUDUSD,2005-09-22,0.76895,0.7708,0.75925,0.76085,0.7650250000000001,0
AUDUSD,AUDUSD,2005-09-23,0.76095,0.76235,0.75695,0.757,0.7596499999999999,0
AUDUSD,AUDUSD,2005-09-25,0.75705,0.7584,0.75655,0.7574,0.7574749999999999,0
AUDUSD,AUDUSD,2005-09-26,0.7575,0.75865,0.75435,0.75565,0.7565,0
AUDUSD,AUDUSD,2005-09-27,0.75555,0.7567,0.753,0.7563,0.75485,0
AUDUSD,AUDUSD,2005-09-28,0.7562,0.76075,0.75565,0.75875,0.7582,0
AUDUSD,AUDUSD,2005-09-29,0.75885,0.7625,0.75845,0.76185,0.760475,0
AUDUSD,AUDUSD,2005-09-30,0.76195,0.7643,0.7592,0.76195,0.7617499999999999,0
AUDUSD,AUDUSD,2005-10-02,0.76675,0.76705,0.75915,0.75935,0.7631,0
AUDUSD,AUDUSD,2005-10-03,0.75935,0.76345,0.75905,0.76325,0.76125,0
AUDUSD,AUDUSD,2005-10-04,0.76315,0.7645,0.75945,0.76025,0.761975,0
AUDUSD,AUDUSD,2005-10-05,0.76035,0.76085,0.75535,0.75765,0.7581,0
AUDUSD,AUDUSD,2005-10-06,0.75755,0.76075,0.75655,0.76055,0.75865,0
AUDUSD,AUDUSD,2005-10-07,0.76065,0.7613,0.75575,0.75685,0.758525,0
AUDUSD,AUDUSD,2005-10-09,0.75635,0.7583,0.75625,0.7578,0.7572749999999999,0
AUDUSD,AUDUSD,2005-10-10,0.7577,0.7606,0.75675,0.75755,0.758675,0
AUDUSD,AUDUSD,2005-10-11,0.75765,0.7579,0.75065,0.7523,0.754275,0
AUDUSD,AUDUSD,2005-10-12,0.75225,0.7564,0.7495,0.7513,0.75295,0
AUDUSD,AUDUSD,2005-10-13,0.7513,0.7521,0.7462,0.75115,0.74915,0
AUDUSD,AUDUSD,2005-10-14,0.75105,0.75415,0.749,0.75225,0.751575,0
AUDUSD,AUDUSD,2005-10-16,0.75345,0.7548,0.752,0.75445,0.7534000000000001,0
AUDUSD,AUDUSD,2005-10-17,0.7544,0.7544,0.7473,0.748,0.75085,0
AUDUSD,AUDUSD,2005-10-18,0.74785,0.749,0.7447,0.74655,0.74685,0
AUDUSD,AUDUSD,2005-10-19,0.7465,0.75185,0.7438,0.74915,0.747825,0
AUDUSD,AUDUSD,2005-10-20,0.74925,0.75445,0.7488,0.75255,0.751625,0
AUDUSD,AUDUSD,2005-10-21,0.75245,0.7533,0.7471,0.74885,0.7502,0
AUDUSD,AUDUSD,2005-10-23,0.74835,0.74835,0.74675,0.7472,0.7475499999999999,0
AUDUSD,AUDUSD,2005-10-24,0.74725,0.7518,0.747,0.75025,0.7494000000000001,0
AUDUSD,AUDUSD,2005-10-25,0.7502,0.7574,0.7494,0.7561,0.7534,0
AUDUSD,AUDUSD,2005-10-26,0.75615,0.7579,0.75235,0.75725,0.755125,0
AUDUSD,AUDUSD,2005-10-27,0.7574,0.76015,0.75565,0.75735,0.7579,0
AUDUSD,AUDUSD,2005-10-28,0.7573,0.7574,0.749,0.74905,0.7532,0
AUDUSD,AUDUSD,2005-10-30,0.74845,0.75035,0.74775,0.74915,0.74905,0
AUDUSD,AUDUSD,2005-10-31,0.74905,0.75215,0.74555,0.74635,0.74885,0
AUDUSD,AUDUSD,2005-11-01,0.74645,0.74705,0.7416,0.74285,0.744325,0
AUDUSD,AUDUSD,2005-11-02,0.7428,0.7439,0.7397,0.742,0.7418,0
AUDUSD,AUDUSD,2005-11-03,0.74205,0.7433,0.7381,0.7382,0.7406999999999999,0
AUDUSD,AUDUSD,2005-11-04,0.7381,0.7396,0.7311,0.733,0.73535,0
AUDUSD,AUDUSD,2005-11-06,0.73245,0.73425,0.73205,0.73305,0.73315,0
AUDUSD,AUDUSD,2005-11-07,0.73295,0.7342,0.72845,0.73005,0.731325,0
AUDUSD,AUDUSD,2005-11-08,0.72995,0.736,0.72945,0.73325,0.7327250000000001,0
AUDUSD,AUDUSD,2005-11-09,0.7332,0.738,0.7318,0.73295,0.7349,0
AUDUSD,AUDUSD,2005-11-10,0.73285,0.73615,0.72935,0.73255,0.73275,0
AUDUSD,AUDUSD,2005-11-11,0.73245,0.73345,0.7299,0.73285,0.7316750000000001,0
AUDUSD,AUDUSD,2005-11-13,0.73235,0.73385,0.73205,0.73355,0.73295,0
AUDUSD,AUDUSD,2005-11-14,0.73365,0.7344,0.7262,0.72815,0.7303,0
AUDUSD,AUDUSD,2005-11-15,0.7281,0.7337,0.7278,0.73075,0.73075,0
AUDUSD,AUDUSD,2005-11-16,0.73085,0.7324,0.72805,0.73125,0.730225,0
AUDUSD,AUDUSD,2005-11-17,0.73115,0.7353,0.7295,0.73185,0.7323999999999999,0
AUDUSD,AUDUSD,2005-11-18,0.73195,0.73405,0.7301,0.73315,0.732075,0
AUDUSD,AUDUSD,2005-11-20,0.73345,0.73445,0.73265,0.73335,0.73355,0
AUDUSD,AUDUSD,2005-11-21,0.73345,0.7394,0.7331,0.73425,0.73625,0
AUDUSD,AUDUSD,2005-11-22,0.73415,0.7387,0.7321,0.73655,0.7354,0
AUDUSD,AUDUSD,2005-11-23,0.73665,0.74005,0.7362,0.73835,0.7381249999999999,0
AUDUSD,AUDUSD,2005-11-24,0.73825,0.7407,0.7364,0.73685,0.73855,0
AUDUSD,AUDUSD,2005-11-25,0.73675,0.7378,0.7346,0.73575,0.7362,0
AUDUSD,AUDUSD,2005-11-27,0.73365,0.73465,0.73265,0.73315,0.73365,0
AUDUSD,AUDUSD,2005-11-28,0.73325,0.7454,0.7323,0.74005,0.73885,0
AUDUSD,AUDUSD,2005-11-29,0.73995,0.7417,0.73715,0.73905,0.739425,0
AUDUSD,AUDUSD,2005-11-30,0.73895,0.7406,0.7373,0.73885,0.73895,0
AUDUSD,AUDUSD,2005-12-01,0.73875,0.7436,0.73815,0.74335,0.740875,0
AUDUSD,AUDUSD,2005-12-02,0.74345,0.74905,0.74215,0.74795,0.7456,0
AUDUSD,AUDUSD,2005-12-04,0.74655,0.74705,0.74505,0.74565,0.74605,0
AUDUSD,AUDUSD,2005-12-05,0.74555,0.7527,0.74555,0.7513,0.749125,0
AUDUSD,AUDUSD,2005-12-06,0.7514,0.7543,0.74835,0.74955,0.751325,0
AUDUSD,AUDUSD,2005-12-07,0.7495,0.74965,0.7443,0.74555,0.746975,0
AUDUSD,AUDUSD,2005-12-08,0.7455,0.7517,0.7449,0.7511,0.7483,0
AUDUSD,AUDUSD,2005-12-09,0.75115,0.7524,0.7493,0.75055,0.75085,0
AUDUSD,AUDUSD,2005-12-11,0.74915,0.75215,0.74915,0.75165,0.75065,0
AUDUSD,AUDUSD,2005-12-12,0.75175,0.757,0.7506,0.75595,0.7538,0
AUDUSD,AUDUSD,2005-12-13,0.75585,0.75645,0.75205,0.7545,0.75425,0
AUDUSD,AUDUSD,2005-12-14,0.7544,0.7579,0.7535,0.75445,0.7557,0
AUDUSD,AUDUSD,2005-12-15,0.75455,0.75525,0.7442,0.745,0.749725,0
AUDUSD,AUDUSD,2005-12-16,0.74505,0.7478,0.742,0.74365,0.7449,0
AUDUSD,AUDUSD,2005-12-18,0.74375,0.7467,0.74355,0.74605,0.745125,0
AUDUSD,AUDUSD,2005-12-19,0.746,0.747,0.73825,0.73915,0.742625,0
AUDUSD,AUDUSD,2005-12-20,0.7391,0.74085,0.732,0.73415,0.736425,0
AUDUSD,AUDUSD,2005-12-21,0.7341,0.7368,0.7312,0.73295,0.734,0
AUDUSD,AUDUSD,2005-12-22,0.73285,0.73365,0.7301,0.73075,0.731875,0
AUDUSD,AUDUSD,2005-12-23,0.73075,0.7315,0.7267,0.72855,0.7291000000000001,0
AUDUSD,AUDUSD,2005-12-27,0.7307,0.73095,0.7283,0.72885,0.729625,0
AUDUSD,AUDUSD,2005-12-27,0.72895,0.7297,0.72345,0.72745,0.726575,0
AUDUSD,AUDUSD,2005-12-28,0.72735,0.73175,0.7269,0.72925,0.729325,0
AUDUSD,AUDUSD,2005-12-29,0.72935,0.7344,0.72885,0.73345,0.731625,0
AUDUSD,AUDUSD,2005-12-30,0.7334,0.73455,0.73155,0.73395,0.73305,0
AUDUSD,AUDUSD,2006-01-03,0.73365,0.7378,0.7335,0.73755,0.73565,0
AUDUSD,AUDUSD,2006-01-03,0.7375,0.74355,0.7338,0.7429,0.738675,0
AUDUSD,AUDUSD,2006-01-04,0.7428,0.7484,0.7405,0.74755,0.7444500000000001,0
AUDUSD,AUDUSD,2006-01-05,0.74745,0.7485,0.7444,0.74705,0.7464500000000001,0
AUDUSD,AUDUSD,2006-01-06,0.7472,0.75525,0.7451,0.75405,0.750175,0
AUDUSD,AUDUSD,2006-01-08,0.75295,0.75435,0.75125,0.75255,0.7527999999999999,0
AUDUSD,AUDUSD,2006-01-09,0.7525,0.7545,0.74995,0.75015,0.7522249999999999,0
AUDUSD,AUDUSD,2006-01-10,0.75025,0.7528,0.74825,0.75015,0.750525,0
AUDUSD,AUDUSD,2006-01-11,0.7501,0.7566,0.7489,0.75565,0.75275,0
AUDUSD,AUDUSD,2006-01-12,0.75545,0.75625,0.7496,0.75125,0.7529250000000001,0
AUDUSD,AUDUSD,2006-01-13,0.75135,0.75515,0.7501,0.75515,0.752625,0
AUDUSD,AUDUSD,2006-01-15,0.75675,0.75775,0.75565,0.75595,0.7567,0
AUDUSD,AUDUSD,2006-01-16,0.75605,0.75615,0.75205,0.75375,0.7541,0
AUDUSD,AUDUSD,2006-01-17,0.75385,0.7555,0.74695,0.74815,0.751225,0
AUDUSD,AUDUSD,2006-01-18,0.74805,0.7505,0.74545,0.74605,0.747975,0
AUDUSD,AUDUSD,2006-01-19,0.7461,0.7494,0.7444,0.74895,0.7468999999999999,0
AUDUSD,AUDUSD,2006-01-20,0.74885,0.75,0.7464,0.74795,0.7482,0
AUDUSD,AUDUSD,2006-01-22,0.74965,0.7541,0.74855,0.7536,0.751325,0
AUDUSD,AUDUSD,2006-01-23,0.7535,0.7543,0.75085,0.75135,0.752575,0
AUDUSD,AUDUSD,2006-01-24,0.75125,0.7522,0.7486,0.75125,0.7504,0
AUDUSD,AUDUSD,2006-01-25,0.7512,0.7557,0.75105,0.75405,0.753375,0
AUDUSD,AUDUSD,2006-01-26,0.75415,0.7559,0.7506,0.75255,0.75325,0
