full_name,ticker,date,open,high,low,close,average_price,volume
CHFJPY,CHFJPY,2005-03-09,89.525,90.275,89.28,90.195,89.7775,0
CHFJPY,CHFJPY,2005-03-10,90.205,90.385,89.965,90.28,90.17500000000001,0
CHFJPY,CHFJPY,2005-03-11,90.275,90.415,89.965,90.37,90.19,0
CHFJPY,CHFJPY,2005-03-13,90.49,90.8,90.455,90.705,90.6275,0
CHFJPY,CHFJPY,2005-03-14,90.695,90.825,90.175,90.32,90.5,0
CHFJPY,CHFJPY,2005-03-15,90.325,90.47,89.49,89.59,89.97999999999999,0
CHFJPY,CHFJPY,2005-03-16,89.58,90.515,89.555,90.495,90.035,0
CHFJPY,CHFJPY,2005-03-17,90.5,90.535,90.22,90.495,90.3775,0
CHFJPY,CHFJPY,2005-03-18,90.49,90.57,89.695,90.0,90.1325,0
CHFJPY,CHFJPY,2005-03-20,89.895,89.93,89.705,89.795,89.8175,0
CHFJPY,CHFJPY,2005-03-21,89.795,89.88,89.1,89.195,89.49,0
CHFJPY,CHFJPY,2005-03-22,89.2,89.47,88.48,88.645,88.975,0
CHFJPY,CHFJPY,2005-03-23,88.645,88.84,88.29,88.825,88.565,0
CHFJPY,CHFJPY,2005-03-24,88.82,89.2,88.455,88.585,88.8275,0
CHFJPY,CHFJPY,2005-03-25,88.585,88.765,88.52,88.555,88.6425,0
CHFJPY,CHFJPY,2005-03-27,88.665,88.77,88.575,88.735,88.6725,0
CHFJPY,CHFJPY,2005-03-28,88.745,89.41,88.52,89.365,88.965,0
CHFJPY,CHFJPY,2005-03-29,89.375,90.97,89.125,89.41,90.0475,0
CHFJPY,CHFJPY,2005-03-30,89.41,90.365,89.28,89.485,89.82249999999999,0
CHFJPY,CHFJPY,2005-03-31,89.48,90.575,89.25,89.75,89.9125,0
CHFJPY,CHFJPY,2005-04-01,89.755,90.005,89.145,89.39,89.57499999999999,0
CHFJPY,CHFJPY,2005-04-03,89.39,89.49,89.34,89.45,89.41499999999999,0
CHFJPY,CHFJPY,2005-04-04,89.46,89.73,89.35,89.69,89.53999999999999,0
CHFJPY,CHFJPY,2005-04-05,89.71,89.89,89.49,89.685,89.69,0
CHFJPY,CHFJPY,2005-04-06,89.67,90.27,89.645,90.09,89.9575,0
CHFJPY,CHFJPY,2005-04-07,90.08,90.645,89.605,89.665,90.125,0
CHFJPY,CHFJPY,2005-04-08,89.67,90.505,89.65,90.4,90.0775,0
CHFJPY,CHFJPY,2005-04-10,90.685,90.685,90.39,90.52,90.5375,0
CHFJPY,CHFJPY,2005-04-11,90.51,90.93,90.13,90.235,90.53,0
CHFJPY,CHFJPY,2005-04-12,90.245,90.84,89.565,89.62,90.2025,0
CHFJPY,CHFJPY,2005-04-13,89.635,89.775,89.13,89.5,89.4525,0
CHFJPY,CHFJPY,2005-04-14,89.52,90.09,88.855,89.08,89.4725,0
CHFJPY,CHFJPY,2005-04-15,89.065,89.875,89.05,89.855,89.4625,0
CHFJPY,CHFJPY,2005-04-17,89.805,89.975,89.555,89.715,89.765,0
CHFJPY,CHFJPY,2005-04-18,89.7,90.65,89.665,90.365,90.1575,0
CHFJPY,CHFJPY,2005-04-19,90.355,90.635,90.2,90.585,90.4175,0
CHFJPY,CHFJPY,2005-04-20,90.57,91.005,90.205,90.85,90.60499999999999,0
CHFJPY,CHFJPY,2005-04-21,90.86,91.11,90.125,90.19,90.6175,0
CHFJPY,CHFJPY,2005-04-22,90.195,90.305,89.39,89.785,89.8475,0
CHFJPY,CHFJPY,2005-04-24,89.395,89.395,89.15,89.315,89.27250000000001,0
CHFJPY,CHFJPY,2005-04-25,89.33,89.455,88.735,89.045,89.095,0
CHFJPY,CHFJPY,2005-04-26,89.05,89.485,88.985,89.47,89.235,0
