full_name,ticker,date,open,high,low,close,average_price,volume
iShares Core S&P 500 UCITS ETF,CSPX,2017-01-27,217.96,221.335,217.1,219.98,219.2175,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-01-30,216.795,219.98,214.81,219.98,217.39499999999998,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-01-31,215.515,219.925,214.795,219.925,217.36,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-01,216.36,220.095,215.52,220.095,217.8075,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-02,215.15,220.72,215.11,220.185,217.91500000000002,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-03,216.145,221.43,216.05,220.185,218.74,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-06,217.59,217.845,216.885,217.425,217.365,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-07,217.125,221.42,217.025,220.185,219.2225,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-08,217.425,221.23,216.625,221.23,218.9275,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-09,217.555,221.42,217.38,221.385,219.39999999999998,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-10,219.22,221.385,218.335,221.385,219.86,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-13,219.82,222.96,219.77,222.685,221.365,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-14,220.7,222.135,220.255,221.395,221.195,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-15,221.965,222.44,220.785,221.33,221.6125,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-16,222.905,223.1,221.33,221.33,222.215,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-17,222.5,222.575,221.09,221.33,221.83249999999998,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-20,223.485,223.79,222.32,222.32,223.055,0
iShares Core S&P 500 UCITS ETF,CSPX,2017-02-21,223.1,224.495,223.01,223.685,223.7525,0
