full_name,ticker,date,open,high,low,close,average_price,volume
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-15,4.9965,5.0105,4.962,4.965,4.98625,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-16,4.965,4.976,4.944,4.944,4.96,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-17,4.929,4.9495,4.9205,4.924,4.935,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-18,4.928,4.946,4.92,4.9425,4.933,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-21,4.955,4.9665,4.946,4.9645,4.95625,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-22,4.963,4.975,4.945,4.9475,4.96,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-23,4.976,5.001,4.9645,4.9965,4.98275,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-24,4.992,5.044,4.986,5.034,5.015,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-25,5.03,5.071,5.027,5.056,5.0489999999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-29,5.0885,5.158,5.0865,5.131,5.12225,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-30,5.1325,5.14,5.09,5.114,5.115,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-05-31,5.1205,5.1605,5.101,5.1415,5.13075,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-01,5.1095,5.122,5.0805,5.109,5.10125,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-04,5.089,5.1045,5.0795,5.0895,5.0920000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-05,5.0775,5.0985,5.07,5.091,5.08425,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-06,5.073,5.074,5.0295,5.0325,5.05175,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-07,5.02,5.0535,5.008,5.05,5.030749999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-08,5.083,5.109,5.0655,5.0765,5.08725,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-11,5.052,5.065,5.0475,5.059,5.05625,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-12,5.054,5.062,5.039,5.05,5.0504999999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-13,5.0585,5.074,5.055,5.071,5.0645,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-14,5.075,5.103,5.067,5.084,5.085,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-15,5.107,5.1355,5.0985,5.1195,5.117,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-18,5.11,5.123,5.093,5.0965,5.1080000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-19,5.149,5.1555,5.1235,5.132,5.1395,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-20,5.119,5.131,5.0995,5.1075,5.11525,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-21,5.086,5.12,5.0795,5.1025,5.09975,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-22,5.1,5.1125,5.0865,5.108,5.0995,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-25,5.131,5.1385,5.113,5.1335,5.12575,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-26,5.116,5.138,5.111,5.126,5.124499999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-27,5.136,5.1685,5.136,5.166,5.15225,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-28,5.179,5.1855,5.167,5.1715,5.17625,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-06-29,5.172,5.188,5.1595,5.1755,5.17375,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-07-02,5.174,5.191,5.162,5.1635,5.1765,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2018-07-03,5.1565,5.186,5.1465,5.184,5.16625,0
