full_name,ticker,date,open,high,low,close,average_price,volume
EURSGD,EURSGD,2009-07-15,2.03875,2.05205,2.0332,2.04725,2.042625,0
EURSGD,EURSGD,2009-07-16,2.04775,2.0549,2.0426,2.05215,2.04875,0
EURSGD,EURSGD,2009-07-17,2.0523,2.0549,2.0403,2.0459,2.0476,0
EURSGD,EURSGD,2009-07-20,2.04535,2.0527,2.04355,2.04955,2.048125,0
EURSGD,EURSGD,2009-07-21,2.05,2.05565,2.0446,2.05,2.050125,0
EURSGD,EURSGD,2009-07-22,2.04865,2.0548,2.04505,2.05035,2.049925,0
EURSGD,EURSGD,2009-07-23,2.0498,2.0564,2.03425,2.0403,2.045325,0
EURSGD,EURSGD,2009-07-24,2.04135,2.0533,2.0402,2.04505,2.0467500000000003,0
EURSGD,EURSGD,2009-07-27,2.04725,2.05845,2.043,2.04895,2.050725,0
EURSGD,EURSGD,2009-07-28,2.0512,2.05745,2.03705,2.04185,2.04725,0
EURSGD,EURSGD,2009-07-29,2.0429,2.04475,2.02635,2.0335,2.0355499999999997,0
EURSGD,EURSGD,2009-07-30,2.0322,2.03585,2.0244,2.0326,2.030125,0
EURSGD,EURSGD,2009-07-31,2.0328,2.05545,2.0305,2.0517,2.042975,0
EURSGD,EURSGD,2009-08-03,2.0563,2.06905,2.0427,2.0648,2.055875,0
EURSGD,EURSGD,2009-08-04,2.06585,2.0685,2.0606,2.06455,2.0645499999999997,0
EURSGD,EURSGD,2009-08-05,2.0634,2.07,2.05965,2.06485,2.064825,0
EURSGD,EURSGD,2009-08-06,2.06535,2.06785,2.0594,2.06155,2.063625,0
EURSGD,EURSGD,2009-08-07,2.06185,2.06975,2.0386,2.04335,2.054175,0
EURSGD,EURSGD,2009-08-10,2.04235,2.0481,2.0366,2.0423,2.04235,0
EURSGD,EURSGD,2009-08-11,2.04155,2.0529,2.0398,2.04885,2.0463500000000003,0
EURSGD,EURSGD,2009-08-12,2.0496,2.05545,2.042,2.0483,2.048725,0
EURSGD,EURSGD,2009-08-13,2.05035,2.06585,2.04985,2.0607,2.05785,0
EURSGD,EURSGD,2009-08-14,2.05995,2.06435,2.04565,2.05005,2.055,0
EURSGD,EURSGD,2009-08-17,2.0496,2.05225,2.03885,2.04495,2.04555,0
EURSGD,EURSGD,2009-08-18,2.0451,2.05295,2.04185,2.0464,2.0474,0
EURSGD,EURSGD,2009-08-19,2.0481,2.067,2.0457,2.06015,2.05635,0
EURSGD,EURSGD,2009-08-20,2.06085,2.06495,2.0488,2.05295,2.056875,0
EURSGD,EURSGD,2009-08-21,2.05275,2.06655,2.0512,2.06365,2.058875,0
EURSGD,EURSGD,2009-08-24,2.06175,2.0694,2.0566,2.0643,2.0629999999999997,0
EURSGD,EURSGD,2009-08-25,2.06535,2.06995,2.05615,2.0621,2.06305,0
EURSGD,EURSGD,2009-08-26,2.0628,2.06835,2.05385,2.0597,2.0611,0
EURSGD,EURSGD,2009-08-27,2.05835,2.0771,2.0551,2.06785,2.0661,0
EURSGD,EURSGD,2009-08-28,2.0691,2.0732,2.0589,2.0625,2.0660499999999997,0
EURSGD,EURSGD,2009-08-31,2.06415,2.0716,2.05685,2.0656,2.064225,0
EURSGD,EURSGD,2009-09-01,2.06565,2.0692,2.04915,2.0542,2.0591749999999998,0
EURSGD,EURSGD,2009-09-02,2.0535,2.062,2.04905,2.05715,2.055525,0
EURSGD,EURSGD,2009-09-03,2.0572,2.06395,2.0505,2.0523,2.057225,0
EURSGD,EURSGD,2009-09-04,2.0528,2.05935,2.0448,2.05535,2.052075,0
EURSGD,EURSGD,2009-09-07,2.05805,2.05975,2.0504,2.05485,2.055075,0
EURSGD,EURSGD,2009-09-08,2.05555,2.0717,2.0519,2.06465,2.0618,0
EURSGD,EURSGD,2009-09-09,2.06535,2.078,2.06395,2.0729,2.070975,0
EURSGD,EURSGD,2009-09-10,2.075,2.08395,2.06965,2.0777,2.0768000000000004,0
EURSGD,EURSGD,2009-09-11,2.07725,2.0803,2.0697,2.0714,2.075,0
EURSGD,EURSGD,2009-09-14,2.07705,2.08415,2.07005,2.07965,2.0771,0
EURSGD,EURSGD,2009-09-15,2.0812,2.08615,2.0733,2.08035,2.079725,0
EURSGD,EURSGD,2009-09-16,2.08095,2.08335,2.06825,2.0767,2.0758,0
EURSGD,EURSGD,2009-09-17,2.07695,2.08635,2.07525,2.0854,2.0808,0
EURSGD,EURSGD,2009-09-18,2.08365,2.0872,2.0752,2.0818,2.0812,0
EURSGD,EURSGD,2009-09-21,2.08235,2.0854,2.0738,2.08235,2.0796,0
EURSGD,EURSGD,2009-09-22,2.08135,2.0921,2.0786,2.0887,2.08535,0
EURSGD,EURSGD,2009-09-23,2.08925,2.0944,2.0806,2.0827,2.0875,0
EURSGD,EURSGD,2009-09-24,2.0832,2.089,2.076,2.0811,2.0825,0
EURSGD,EURSGD,2009-09-25,2.07935,2.08395,2.074,2.08015,2.078975,0
EURSGD,EURSGD,2009-09-28,2.0823,2.08455,2.0689,2.0736,2.076725,0
EURSGD,EURSGD,2009-09-29,2.07515,2.07675,2.0611,2.06875,2.068925,0
EURSGD,EURSGD,2009-09-30,2.0687,2.07075,2.05585,2.06425,2.0633,0
EURSGD,EURSGD,2009-10-01,2.06195,2.0658,2.051,2.05645,2.0584,0
