full_name,ticker,date,open,high,low,close,average_price,volume
EURUSD,EURUSD,2005-03-09,1.3339,1.3456,1.3334,1.3433,1.3395,0
EURUSD,EURUSD,2005-03-10,1.34335,1.3454,1.3398,1.3425,1.3426,0
EURUSD,EURUSD,2005-03-11,1.3426,1.34785,1.3392,1.3458,1.343525,0
EURUSD,EURUSD,2005-03-13,1.3475,1.3477,1.3444,1.3453,1.34605,0
EURUSD,EURUSD,2005-03-14,1.3454,1.3456,1.3336,1.3363,1.3396,0
EURUSD,EURUSD,2005-03-15,1.3362,1.3411,1.3292,1.3303,1.33515,0
EURUSD,EURUSD,2005-03-16,1.3302,1.3439,1.3301,1.3407,1.3370000000000002,0
EURUSD,EURUSD,2005-03-17,1.3406,1.3419,1.3343,1.3373,1.3381,0
EURUSD,EURUSD,2005-03-18,1.3372,1.3373,1.3265,1.33245,1.3319,0
EURUSD,EURUSD,2005-03-20,1.3308,1.33175,1.325,1.3258,1.3283749999999999,0
EURUSD,EURUSD,2005-03-21,1.3259,1.3275,1.314,1.3167,1.3207499999999999,0
EURUSD,EURUSD,2005-03-22,1.3168,1.3226,1.3054,1.3077,1.314,0
EURUSD,EURUSD,2005-03-23,1.3078,1.3087,1.2961,1.2987,1.3024,0
EURUSD,EURUSD,2005-03-24,1.2988,1.30335,1.2929,1.2946,1.298125,0
EURUSD,EURUSD,2005-03-25,1.2947,1.2969,1.2941,1.29575,1.2955,0
EURUSD,EURUSD,2005-03-27,1.2957,1.2957,1.2888,1.2908,1.2922500000000001,0
EURUSD,EURUSD,2005-03-28,1.2909,1.2955,1.2857,1.2937,1.2906,0
EURUSD,EURUSD,2005-03-29,1.2936,1.2967,1.2897,1.2949,1.2932000000000001,0
EURUSD,EURUSD,2005-03-30,1.295,1.2985,1.29115,1.2923,1.294825,0
EURUSD,EURUSD,2005-03-31,1.2922,1.3019,1.2914,1.2956,1.29665,0
EURUSD,EURUSD,2005-04-01,1.2956,1.30555,1.2871,1.29135,1.296325,0
EURUSD,EURUSD,2005-04-03,1.2884,1.2905,1.2881,1.2902,1.2893,0
EURUSD,EURUSD,2005-04-04,1.2903,1.2903,1.2816,1.2819,1.2859500000000001,0
EURUSD,EURUSD,2005-04-05,1.282,1.2886,1.2801,1.2872,1.2843499999999999,0
EURUSD,EURUSD,2005-04-06,1.2871,1.291,1.2842,1.2888,1.2875999999999999,0
EURUSD,EURUSD,2005-04-07,1.2887,1.2939,1.2812,1.2821,1.28755,0
EURUSD,EURUSD,2005-04-08,1.2822,1.2957,1.2809,1.2957,1.2883,0
EURUSD,EURUSD,2005-04-10,1.2928,1.2945,1.2908,1.2932,1.29265,0
EURUSD,EURUSD,2005-04-11,1.2931,1.3004,1.292,1.2981,1.2962,0
EURUSD,EURUSD,2005-04-12,1.298,1.3016,1.2863,1.2912,1.2939500000000002,0
EURUSD,EURUSD,2005-04-13,1.2913,1.2955,1.285,1.2879,1.29025,0
EURUSD,EURUSD,2005-04-14,1.288,1.2888,1.2767,1.2799,1.28275,0
EURUSD,EURUSD,2005-04-15,1.2798,1.294,1.2779,1.2925,1.2859500000000001,0
EURUSD,EURUSD,2005-04-17,1.2917,1.2926,1.2877,1.2882,1.2901500000000001,0
EURUSD,EURUSD,2005-04-18,1.2881,1.30445,1.2881,1.3016,1.296275,0
EURUSD,EURUSD,2005-04-19,1.3015,1.3082,1.2982,1.3071,1.3032,0
EURUSD,EURUSD,2005-04-20,1.3069,1.3111,1.29925,1.31,1.305175,0
EURUSD,EURUSD,2005-04-21,1.3101,1.3125,1.3022,1.3036,1.30735,0
EURUSD,EURUSD,2005-04-22,1.3035,1.3094,1.3032,1.3065,1.3062999999999998,0
EURUSD,EURUSD,2005-04-24,1.3059,1.306,1.3002,1.3019,1.3031000000000001,0
EURUSD,EURUSD,2005-04-25,1.3018,1.3045,1.2955,1.3001,1.3,0
EURUSD,EURUSD,2005-04-26,1.3002,1.3015,1.29455,1.2973,1.298025,0
EURUSD,EURUSD,2005-04-27,1.2974,1.2989,1.29055,1.2927,1.2947250000000001,0
EURUSD,EURUSD,2005-04-28,1.2926,1.29435,1.2882,1.2918,1.291275,0
EURUSD,EURUSD,2005-04-29,1.2918,1.298,1.2854,1.287,1.2917,0
EURUSD,EURUSD,2005-05-01,1.2861,1.2867,1.284,1.2857,1.28535,0
EURUSD,EURUSD,2005-05-02,1.2856,1.2874,1.2832,1.2834,1.2852999999999999,0
EURUSD,EURUSD,2005-05-03,1.2835,1.2965,1.283,1.2953,1.28975,0
EURUSD,EURUSD,2005-05-04,1.2952,1.2974,1.2917,1.2938,1.29455,0
EURUSD,EURUSD,2005-05-05,1.2937,1.2989,1.2926,1.2942,1.29575,0
EURUSD,EURUSD,2005-05-06,1.2943,1.2964,1.281,1.2819,1.2887,0
EURUSD,EURUSD,2005-05-08,1.2816,1.2828,1.2793,1.2803,1.28105,0
EURUSD,EURUSD,2005-05-09,1.2804,1.2863,1.279,1.2851,1.2826499999999998,0
EURUSD,EURUSD,2005-05-10,1.2852,1.2895,1.2816,1.2871,1.2855500000000002,0
EURUSD,EURUSD,2005-05-11,1.287,1.2913,1.27775,1.2798,1.284525,0
EURUSD,EURUSD,2005-05-12,1.2797,1.2808,1.2672,1.2676,1.274,0
EURUSD,EURUSD,2005-05-13,1.26755,1.2688,1.261,1.2633,1.2649,0
EURUSD,EURUSD,2005-05-15,1.2636,1.26375,1.2502,1.26055,1.256975,0
EURUSD,EURUSD,2005-05-16,1.2606,1.26505,1.25815,1.2633,1.2616,0
EURUSD,EURUSD,2005-05-17,1.2632,1.2664,1.2586,1.2608,1.2625,0
EURUSD,EURUSD,2005-05-18,1.2609,1.2691,1.2603,1.2681,1.2647,0
EURUSD,EURUSD,2005-05-19,1.2682,1.2686,1.2605,1.2646,1.2645499999999998,0
EURUSD,EURUSD,2005-05-20,1.2646,1.2654,1.2536,1.25585,1.2595,0
EURUSD,EURUSD,2005-05-22,1.2542,1.25655,1.24895,1.2564,1.25275,0
