full_name,ticker,date,open,high,low,close,average_price,volume
GBPAUD,GBPAUD,2005-03-09,2.423,2.43155,2.42145,2.42695,2.4265,0
GBPAUD,GBPAUD,2005-03-10,2.42735,2.4446,2.41645,2.43065,2.4305250000000003,0
GBPAUD,GBPAUD,2005-03-11,2.43355,2.44225,2.4219,2.42855,2.432075,0
GBPAUD,GBPAUD,2005-03-14,2.42955,2.4406,2.4245,2.43045,2.43255,0
GBPAUD,GBPAUD,2005-03-15,2.42815,2.4318,2.41725,2.41905,2.424525,0
GBPAUD,GBPAUD,2005-03-16,2.42505,2.4381,2.42185,2.42735,2.4299749999999998,0
GBPAUD,GBPAUD,2005-03-17,2.42555,2.4337,2.4229,2.42625,2.4283,0
GBPAUD,GBPAUD,2005-03-18,2.42775,2.4301,2.41395,2.4181,2.4220249999999997,0
GBPAUD,GBPAUD,2005-03-21,2.4192,2.42315,2.4066,2.415,2.4148750000000003,0
GBPAUD,GBPAUD,2005-03-22,2.41605,2.42075,2.39675,2.4091,2.40875,0
GBPAUD,GBPAUD,2005-03-23,2.41675,2.42725,2.40785,2.4194,2.41755,0
GBPAUD,GBPAUD,2005-03-24,2.42025,2.4281,2.4161,2.41925,2.4221000000000004,0
GBPAUD,GBPAUD,2005-03-25,2.42365,2.42475,2.4172,2.42405,2.420975,0
GBPAUD,GBPAUD,2005-03-28,2.4233,2.4333,2.4145,2.428,2.4238999999999997,0
GBPAUD,GBPAUD,2005-03-29,2.43075,2.43535,2.4177,2.43255,2.426525,0
GBPAUD,GBPAUD,2005-03-30,2.43095,2.4432,2.42685,2.4379,2.435025,0
GBPAUD,GBPAUD,2005-03-31,2.43535,2.4476,2.4277,2.44645,2.43765,0
GBPAUD,GBPAUD,2005-04-01,2.44485,2.4492,2.4368,2.44055,2.4429999999999996,0
GBPAUD,GBPAUD,2005-04-04,2.4438,2.4495,2.4349,2.44285,2.4421999999999997,0
GBPAUD,GBPAUD,2005-04-05,2.44715,2.4574,2.4418,2.4464,2.4496,0
GBPAUD,GBPAUD,2005-04-06,2.44855,2.46225,2.44675,2.4588,2.4545000000000003,0
GBPAUD,GBPAUD,2005-04-07,2.46285,2.46405,2.43735,2.44035,2.4507,0
GBPAUD,GBPAUD,2005-04-08,2.44245,2.44405,2.43165,2.44335,2.43785,0
GBPAUD,GBPAUD,2005-04-11,2.4433,2.4447,2.4346,2.4386,2.4396500000000003,0
GBPAUD,GBPAUD,2005-04-12,2.43945,2.4453,2.4355,2.43985,2.4404000000000003,0
GBPAUD,GBPAUD,2005-04-13,2.44135,2.44315,2.42665,2.43595,2.4349,0
GBPAUD,GBPAUD,2005-04-14,2.43565,2.44465,2.43275,2.44255,2.4387,0
GBPAUD,GBPAUD,2005-04-15,2.44485,2.4645,2.44355,2.46355,2.454025,0
GBPAUD,GBPAUD,2005-04-18,2.4636,2.49095,2.46045,2.47895,2.4757,0
GBPAUD,GBPAUD,2005-04-19,2.47765,2.4988,2.47585,2.4854,2.4873250000000002,0
GBPAUD,GBPAUD,2005-04-20,2.48525,2.48755,2.47035,2.47475,2.47895,0
GBPAUD,GBPAUD,2005-04-21,2.47745,2.4796,2.4577,2.4597,2.4686500000000002,0
GBPAUD,GBPAUD,2005-04-22,2.46025,2.46435,2.4457,2.45055,2.455025,0
GBPAUD,GBPAUD,2005-04-25,2.452,2.4562,2.447,2.4482,2.4516,0
GBPAUD,GBPAUD,2005-04-26,2.45255,2.4549,2.4398,2.4497,2.44735,0
GBPAUD,GBPAUD,2005-04-27,2.45115,2.45915,2.4453,2.4531,2.4522250000000003,0
GBPAUD,GBPAUD,2005-04-28,2.45215,2.4588,2.4409,2.44715,2.44985,0
GBPAUD,GBPAUD,2005-04-29,2.45155,2.4565,2.4391,2.4428,2.4478,0
GBPAUD,GBPAUD,2005-05-02,2.4438,2.4464,2.4287,2.42995,2.43755,0
GBPAUD,GBPAUD,2005-05-03,2.43175,2.44895,2.42645,2.4445,2.4377,0
GBPAUD,GBPAUD,2005-05-04,2.44425,2.45075,2.43295,2.43645,2.44185,0
GBPAUD,GBPAUD,2005-05-05,2.43625,2.44585,2.4326,2.44205,2.439225,0
GBPAUD,GBPAUD,2005-05-06,2.43845,2.4425,2.4332,2.43925,2.43785,0
GBPAUD,GBPAUD,2005-05-09,2.4437,2.444,2.4312,2.43925,2.4375999999999998,0
GBPAUD,GBPAUD,2005-05-10,2.43815,2.43935,2.4207,2.42425,2.430025,0
GBPAUD,GBPAUD,2005-05-11,2.42465,2.4296,2.41375,2.41855,2.421675,0
GBPAUD,GBPAUD,2005-05-12,2.41715,2.43835,2.41665,2.43585,2.4275,0
GBPAUD,GBPAUD,2005-05-13,2.43575,2.4404,2.4277,2.43065,2.43405,0
GBPAUD,GBPAUD,2005-05-16,2.43215,2.44725,2.4207,2.43155,2.433975,0
GBPAUD,GBPAUD,2005-05-17,2.42875,2.43565,2.4231,2.42755,2.429375,0
GBPAUD,GBPAUD,2005-05-18,2.42885,2.43155,2.41435,2.41765,2.42295,0
GBPAUD,GBPAUD,2005-05-19,2.41735,2.42735,2.41735,2.42315,2.42235,0
GBPAUD,GBPAUD,2005-05-20,2.42355,2.42685,2.41425,2.41685,2.42055,0
GBPAUD,GBPAUD,2005-05-23,2.418,2.41995,2.4072,2.41025,2.413575,0
GBPAUD,GBPAUD,2005-05-24,2.41085,2.41225,2.3927,2.395,2.402475,0
GBPAUD,GBPAUD,2005-05-25,2.40355,2.40885,2.39965,2.40175,2.40425,0
GBPAUD,GBPAUD,2005-05-26,2.40185,2.40305,2.3929,2.39985,2.3979749999999997,0
GBPAUD,GBPAUD,2005-05-27,2.39865,2.4034,2.388,2.39115,2.3956999999999997,0
GBPAUD,GBPAUD,2005-05-30,2.3956,2.39845,2.39045,2.39805,2.39445,0
GBPAUD,GBPAUD,2005-05-31,2.39725,2.41735,2.39485,2.4043,2.4061,0
GBPAUD,GBPAUD,2005-06-01,2.40395,2.42455,2.40225,2.4142,2.4134,0
GBPAUD,GBPAUD,2005-06-02,2.41585,2.42105,2.4037,2.40635,2.412375,0
GBPAUD,GBPAUD,2005-06-03,2.40695,2.41085,2.3953,2.4002,2.4030750000000003,0
GBPAUD,GBPAUD,2005-06-06,2.4001,2.4008,2.3752,2.38385,2.388,0
