full_name,ticker,date,open,high,low,close,average_price,volume
GBPNZD,GBPNZD,2007-12-20,2.6483,2.6508,2.6056,2.6117,2.6281999999999996,0
GBPNZD,GBPNZD,2007-12-21,2.60595,2.6102,2.58415,2.59855,2.597175,0
GBPNZD,GBPNZD,2007-12-24,2.5951,2.6016,2.57565,2.5772,2.588625,0
GBPNZD,GBPNZD,2007-12-26,2.58595,2.59085,2.57605,2.58665,2.58345,0
GBPNZD,GBPNZD,2007-12-27,2.5851,2.6006,2.57885,2.5891,2.589725,0
GBPNZD,GBPNZD,2007-12-28,2.58715,2.59625,2.5725,2.57775,2.5843749999999996,0
GBPNZD,GBPNZD,2007-12-31,2.5778,2.6054,2.5632,2.59135,2.5843,0
GBPNZD,GBPNZD,2008-01-02,2.5899,2.5917,2.55245,2.55515,2.572075,0
GBPNZD,GBPNZD,2008-01-03,2.55625,2.56515,2.5326,2.55815,2.548875,0
GBPNZD,GBPNZD,2008-01-04,2.55875,2.57765,2.5501,2.5755,2.5638750000000003,0
GBPNZD,GBPNZD,2008-01-07,2.5753,2.58675,2.5574,2.5623,2.572075,0
GBPNZD,GBPNZD,2008-01-08,2.56295,2.5757,2.5505,2.56685,2.5631,0
GBPNZD,GBPNZD,2008-01-09,2.56395,2.5738,2.53205,2.53435,2.552925,0
GBPNZD,GBPNZD,2008-01-10,2.53275,2.5377,2.4885,2.49835,2.5131,0
GBPNZD,GBPNZD,2008-01-11,2.4968,2.50885,2.4825,2.5022,2.495675,0
GBPNZD,GBPNZD,2008-01-14,2.5082,2.50825,2.4716,2.4732,2.489925,0
GBPNZD,GBPNZD,2008-01-15,2.4737,2.52705,2.46685,2.5256,2.49695,0
GBPNZD,GBPNZD,2008-01-16,2.53345,2.5656,2.5122,2.54415,2.5389,0
GBPNZD,GBPNZD,2008-01-17,2.54755,2.58315,2.5326,2.57325,2.557875,0
GBPNZD,GBPNZD,2008-01-18,2.5816,2.60455,2.54895,2.5752,2.57675,0
GBPNZD,GBPNZD,2008-01-21,2.57775,2.611,2.56605,2.6059,2.588525,0
