full_name,ticker,date,open,high,low,close,average_price,volume
IBEX35_CFD,IBES35,2012-08-14,7127.65,7132.15,7086.65,7105.15,7109.4,0
IBEX35_CFD,IBES35,2012-08-15,7117.35,7117.85,7071.85,7095.85,7094.85,0
IBEX35_CFD,IBES35,2012-08-17,7479.35,7599.35,7451.35,7539.85,7525.35,0
IBEX35_CFD,IBES35,2012-08-20,7566.25,7647.75,7392.75,7465.75,7520.25,0
IBEX35_CFD,IBES35,2012-08-21,7480.85,7562.4,7434.85,7539.9,7498.625,0
IBEX35_CFD,IBES35,2012-08-22,7494.85,7514.85,7330.35,7342.35,7422.6,0
IBEX35_CFD,IBES35,2012-08-23,7402.35,7428.35,7181.25,7272.25,7304.8,0
IBEX35_CFD,IBES35,2012-08-24,7263.75,7326.25,7186.75,7316.25,7256.5,0
IBEX35_CFD,IBES35,2012-08-27,7295.05,7392.55,7218.05,7379.05,7305.3,0
IBEX35_CFD,IBES35,2012-08-28,7398.05,7407.55,7286.05,7324.55,7346.8,0
IBEX35_CFD,IBES35,2012-08-29,7341.55,7367.55,7274.95,7297.45,7321.25,0
IBEX35_CFD,IBES35,2012-08-30,7273.45,7307.45,7185.95,7210.45,7246.7,0
IBEX35_CFD,IBES35,2012-08-31,7174.35,7421.9,7167.35,7404.4,7294.625,0
IBEX35_CFD,IBES35,2012-09-03,7392.25,7442.75,7350.75,7415.75,7396.75,0
IBEX35_CFD,IBES35,2012-09-04,7454.15,7541.7,7446.15,7495.65,7493.924999999999,0
IBEX35_CFD,IBES35,2012-09-05,7470.65,7564.65,7423.65,7489.65,7494.15,0
IBEX35_CFD,IBES35,2012-09-06,7540.6,7866.15,7535.1,7839.65,7700.625,0
IBEX35_CFD,IBES35,2012-09-07,7913.55,8027.05,7836.55,7863.05,7931.8,0
IBEX35_CFD,IBES35,2012-09-10,7844.95,7893.95,7804.95,7857.95,7849.45,0
IBEX35_CFD,IBES35,2012-09-11,7814.35,7932.85,7731.85,7927.35,7832.35,0
IBEX35_CFD,IBES35,2012-09-12,7967.95,8078.95,7936.95,7972.95,8007.95,0
IBEX35_CFD,IBES35,2012-09-13,7950.45,7973.95,7865.45,7949.95,7919.7,0
IBEX35_CFD,IBES35,2012-09-14,8171.35,8173.85,8105.85,8117.85,8139.85,0
IBEX35_CFD,IBES35,2012-09-17,8119.75,8156.75,8070.75,8137.25,8113.75,0
IBEX35_CFD,IBES35,2012-09-18,8087.65,8102.15,7951.65,8087.65,8026.9,0
IBEX35_CFD,IBES35,2012-09-20,8018.55,8089.2,7961.45,8009.55,8025.325,0
IBEX35_CFD,IBES35,2012-09-21,8065.55,8202.35,8032.45,8190.25,8117.4,0
IBEX35_CFD,IBES35,2012-09-24,8164.85,8182.35,8081.65,8129.25,8132.0,0
IBEX35_CFD,IBES35,2012-09-25,8127.65,8199.25,8119.65,8164.2,8159.45,0
IBEX35_CFD,IBES35,2012-09-26,8060.85,8064.85,7839.0,7864.55,7951.925,0
IBEX35_CFD,IBES35,2012-09-27,7896.0,7914.05,7786.3,7847.4,7850.175,0
IBEX35_CFD,IBES35,2012-09-28,7904.85,7938.95,7678.05,7743.65,7808.5,0
IBEX35_CFD,IBES35,2012-10-01,7711.85,7845.05,7709.85,7803.45,7777.450000000001,0
IBEX35_CFD,IBES35,2012-10-02,7725.8,7920.05,7716.25,7859.45,7818.15,0
IBEX35_CFD,IBES35,2012-10-03,7827.35,7911.45,7803.8,7823.35,7857.625,0
IBEX35_CFD,IBES35,2012-10-04,7881.25,7912.85,7781.65,7793.65,7847.25,0
IBEX35_CFD,IBES35,2012-10-05,7846.15,7977.25,7826.65,7952.25,7901.95,0
IBEX35_CFD,IBES35,2012-10-08,7905.35,7914.85,7852.35,7892.35,7883.6,0
IBEX35_CFD,IBES35,2012-10-09,7894.75,7905.25,7732.15,7732.65,7818.7,0
IBEX35_CFD,IBES35,2012-10-10,7747.75,7756.25,7656.75,7672.75,7706.5,0
IBEX35_CFD,IBES35,2012-10-11,7602.05,7771.65,7557.05,7723.65,7664.35,0
IBEX35_CFD,IBES35,2012-10-12,7713.55,7782.55,7656.05,7656.55,7719.3,0
IBEX35_CFD,IBES35,2012-10-15,7638.75,7714.25,7614.25,7657.75,7664.25,0
IBEX35_CFD,IBES35,2012-10-16,7735.65,7944.45,7733.15,7940.95,7838.799999999999,0
IBEX35_CFD,IBES35,2012-10-17,8071.45,8135.45,8029.45,8133.45,8082.45,0
IBEX35_CFD,IBES35,2012-10-18,8131.95,8156.45,8034.95,8107.45,8095.7,0
IBEX35_CFD,IBES35,2012-10-19,8105.35,8105.35,7885.35,7889.85,7995.35,0
IBEX35_CFD,IBES35,2012-10-22,7909.15,7963.7,7846.65,7864.65,7905.174999999999,0
IBEX35_CFD,IBES35,2012-10-23,7886.15,7892.65,7704.15,7757.15,7798.4,0
IBEX35_CFD,IBES35,2012-10-24,7761.7,7825.6,7659.55,7804.1,7742.575000000001,0
IBEX35_CFD,IBES35,2012-10-25,7783.05,7856.55,7772.05,7788.05,7814.3,0
IBEX35_CFD,IBES35,2012-10-26,7708.95,7810.75,7669.2,7763.25,7739.975,0
IBEX35_CFD,IBES35,2012-10-29,7749.65,7783.15,7688.15,7729.65,7735.65,0
IBEX35_CFD,IBES35,2012-10-30,7766.05,7850.05,7764.55,7822.55,7807.3,0
IBEX35_CFD,IBES35,2012-10-31,7846.55,7945.05,7772.5,7772.5,7858.775,0
IBEX35_CFD,IBES35,2012-11-01,7801.5,7937.05,7792.5,7874.05,7864.775,0
IBEX35_CFD,IBES35,2012-11-02,7873.25,8002.25,7806.5,7806.5,7904.375,0
IBEX35_CFD,IBES35,2012-11-05,7885.1,7898.1,7795.05,7831.55,7846.575000000001,0
IBEX35_CFD,IBES35,2012-11-06,7815.05,7873.05,7805.55,7841.55,7839.3,0
IBEX35_CFD,IBES35,2012-11-07,7909.45,7922.45,7641.95,7649.45,7782.2,0
IBEX35_CFD,IBES35,2012-11-08,7704.45,7727.45,7616.45,7651.95,7671.95,0
IBEX35_CFD,IBES35,2012-11-09,7627.35,7683.35,7502.35,7658.85,7592.85,0
IBEX35_CFD,IBES35,2012-11-12,7637.7,7639.7,7553.5,7581.7,7596.6,0
IBEX35_CFD,IBES35,2012-11-13,7532.15,7716.65,7493.95,7709.65,7605.299999999999,0
IBEX35_CFD,IBES35,2012-11-14,7689.6,7757.5,7645.1,7687.1,7701.3,0
IBEX35_CFD,IBES35,2012-11-15,7617.55,7747.4,7616.05,7704.55,7681.725,0
IBEX35_CFD,IBES35,2012-11-16,7695.15,7723.15,7586.25,7593.25,7654.7,0
IBEX35_CFD,IBES35,2012-11-19,7657.95,7774.55,7599.55,7764.95,7687.05,0
IBEX35_CFD,IBES35,2012-11-20,7718.55,7791.25,7701.25,7766.55,7746.25,0
IBEX35_CFD,IBES35,2012-11-21,7745.85,7827.65,7715.85,7792.25,7771.75,0
IBEX35_CFD,IBES35,2012-11-22,7817.35,7898.95,7812.35,7873.85,7855.65,0
IBEX35_CFD,IBES35,2012-11-23,7883.95,7915.65,7821.95,7889.45,7868.799999999999,0
IBEX35_CFD,IBES35,2012-11-26,7844.75,7893.75,7791.5,7871.25,7842.625,0
IBEX35_CFD,IBES35,2012-11-27,7925.85,7951.8,7823.85,7843.85,7887.825000000001,0
IBEX35_CFD,IBES35,2012-11-28,7871.45,7871.45,7756.4,7828.45,7813.924999999999,0
IBEX35_CFD,IBES35,2012-11-29,7889.6,7977.55,7885.05,7968.05,7931.3,0
IBEX35_CFD,IBES35,2012-11-30,7990.05,7993.95,7923.15,7924.15,7958.549999999999,0
IBEX35_CFD,IBES35,2012-12-03,7962.95,8027.3,7871.95,7879.95,7949.625,0
IBEX35_CFD,IBES35,2012-12-04,7878.05,7945.05,7873.55,7880.05,7909.3,0
IBEX35_CFD,IBES35,2012-12-05,7949.85,7980.45,7850.35,7871.15,7915.4,0
IBEX35_CFD,IBES35,2012-12-06,7912.55,7951.85,7844.85,7899.7,7898.35,0
IBEX35_CFD,IBES35,2012-12-07,7924.75,7944.25,7819.25,7844.8,7881.75,0
IBEX35_CFD,IBES35,2012-12-10,7777.05,7792.05,7668.05,7791.55,7730.05,0
IBEX35_CFD,IBES35,2012-12-11,7813.15,7927.75,7811.15,7923.65,7869.45,0
IBEX35_CFD,IBES35,2012-12-12,7945.35,7990.5,7930.4,7984.0,7960.45,0
IBEX35_CFD,IBES35,2012-12-13,7996.35,8039.75,7978.0,8009.85,8008.875,0
IBEX35_CFD,IBES35,2012-12-14,8033.45,8046.95,8001.95,8013.45,8024.45,0
IBEX35_CFD,IBES35,2012-12-17,8022.65,8062.65,7982.15,8036.65,8022.4,0
IBEX35_CFD,IBES35,2012-12-18,8055.75,8175.15,8055.75,8171.75,8115.45,0
IBEX35_CFD,IBES35,2012-12-19,8188.3,8334.6,8187.3,8260.35,8260.95,0
IBEX35_CFD,IBES35,2012-12-20,8249.7,8308.8,8236.3,8278.95,8272.55,0
IBEX35_CFD,IBES35,2012-12-21,8260.5,8294.5,8220.6,8271.6,8257.55,0
IBEX35_CFD,IBES35,2012-12-24,8303.65,8318.2,8271.8,8292.15,8295.0,0
IBEX35_CFD,IBES35,2012-12-27,8250.85,8353.55,8250.85,8290.85,8302.2,0
IBEX35_CFD,IBES35,2012-12-28,8291.95,8316.65,8105.35,8121.35,8211.0,0
IBEX35_CFD,IBES35,2012-12-31,8120.45,8151.65,8063.6,8151.65,8107.625,0
IBEX35_CFD,IBES35,2013-01-02,8337.15,8438.7,8281.25,8411.55,8359.975,0
IBEX35_CFD,IBES35,2013-01-03,8354.75,8423.1,8337.4,8405.3,8380.25,0
IBEX35_CFD,IBES35,2013-01-04,8407.35,8450.9,8397.0,8406.6,8423.95,0
IBEX35_CFD,IBES35,2013-01-07,8447.75,8482.45,8402.95,8403.45,8442.7,0
IBEX35_CFD,IBES35,2013-01-08,8394.6,8493.8,8380.4,8441.55,8437.099999999999,0
IBEX35_CFD,IBES35,2013-01-09,8480.4,8614.2,8480.4,8602.05,8547.3,0
IBEX35_CFD,IBES35,2013-01-10,8599.8,8649.55,8547.65,8618.05,8598.599999999999,0
IBEX35_CFD,IBES35,2013-01-11,8646.85,8675.65,8592.35,8661.65,8634.0,0
IBEX35_CFD,IBES35,2013-01-14,8696.45,8722.0,8603.85,8634.5,8662.925,0
IBEX35_CFD,IBES35,2013-01-15,8560.4,8610.5,8524.0,8601.15,8567.25,0
IBEX35_CFD,IBES35,2013-01-16,8590.2,8608.6,8529.55,8580.8,8569.075,0
IBEX35_CFD,IBES35,2013-01-17,8572.3,8666.85,8566.85,8617.9,8616.85,0
IBEX35_CFD,IBES35,2013-01-18,8666.6,8681.1,8598.35,8601.35,8639.725,0
IBEX35_CFD,IBES35,2013-01-21,8628.85,8655.25,8606.35,8654.75,8630.8,0
IBEX35_CFD,IBES35,2013-01-22,8649.45,8676.9,8586.45,8646.95,8631.675,0
IBEX35_CFD,IBES35,2013-01-23,8646.95,8647.95,8582.95,8621.45,8615.45,0
IBEX35_CFD,IBES35,2013-01-24,8590.5,8672.05,8575.85,8651.05,8623.95,0
IBEX35_CFD,IBES35,2013-01-25,8645.25,8734.15,8618.15,8714.65,8676.15,0
