full_name,ticker,date,open,high,low,close,average_price,volume
AEX25_CFD,IBNL25,2012-08-14,333.265,333.39,331.965,332.715,332.6775,0
AEX25_CFD,IBNL25,2012-08-15,331.405,332.705,330.93,332.23,331.8175,0
AEX25_CFD,IBNL25,2012-08-17,334.405,336.555,334.005,335.53,335.28,0
AEX25_CFD,IBNL25,2012-08-20,335.575,336.45,333.075,334.075,334.7625,0
AEX25_CFD,IBNL25,2012-08-21,335.005,336.655,334.855,336.205,335.755,0
AEX25_CFD,IBNL25,2012-08-22,333.565,333.94,331.865,332.165,332.90250000000003,0
AEX25_CFD,IBNL25,2012-08-23,333.84,333.84,329.065,330.29,331.4525,0
AEX25_CFD,IBNL25,2012-08-24,329.425,330.325,327.25,329.8,328.7875,0
AEX25_CFD,IBNL25,2012-08-27,329.65,332.925,328.75,332.05,330.8375,0
AEX25_CFD,IBNL25,2012-08-28,330.185,330.785,328.535,329.435,329.66,0
AEX25_CFD,IBNL25,2012-08-29,329.385,330.785,328.03,329.885,329.4075,0
AEX25_CFD,IBNL25,2012-08-30,328.635,329.935,326.835,328.335,328.385,0
AEX25_CFD,IBNL25,2012-08-31,327.685,331.435,326.96,329.31,329.1975,0
AEX25_CFD,IBNL25,2012-09-03,328.095,332.145,328.02,331.495,330.0825,0
AEX25_CFD,IBNL25,2012-09-04,332.195,332.295,328.295,328.945,330.295,0
AEX25_CFD,IBNL25,2012-09-05,328.345,330.295,327.145,328.87,328.72,0
AEX25_CFD,IBNL25,2012-09-06,329.12,336.345,328.995,336.02,332.67,0
AEX25_CFD,IBNL25,2012-09-07,337.77,340.245,337.095,337.32,338.67,0
AEX25_CFD,IBNL25,2012-09-10,337.005,337.605,335.305,335.68,336.45500000000004,0
AEX25_CFD,IBNL25,2012-09-11,334.18,336.13,332.905,336.005,334.5175,0
AEX25_CFD,IBNL25,2012-09-12,336.68,339.455,334.93,336.23,337.1925,0
AEX25_CFD,IBNL25,2012-09-13,335.78,335.955,333.265,334.765,334.61,0
AEX25_CFD,IBNL25,2012-09-14,338.265,338.315,336.94,337.89,337.6275,0
AEX25_CFD,IBNL25,2012-09-17,337.89,338.015,336.565,336.865,337.28999999999996,0
AEX25_CFD,IBNL25,2012-09-18,335.565,337.015,334.615,336.465,335.815,0
AEX25_CFD,IBNL25,2012-09-19,336.925,337.325,334.475,335.75,335.9,0
AEX25_CFD,IBNL25,2012-09-20,332.875,334.75,332.625,334.3,333.6875,0
AEX25_CFD,IBNL25,2012-09-21,335.35,335.875,333.725,334.475,334.8,0
AEX25_CFD,IBNL25,2012-09-24,332.25,333.25,330.935,331.85,332.0925,0
AEX25_CFD,IBNL25,2012-09-25,332.085,335.135,331.685,334.51,333.40999999999997,0
AEX25_CFD,IBNL25,2012-09-26,331.435,331.785,327.985,328.635,329.885,0
AEX25_CFD,IBNL25,2012-09-27,329.46,329.885,328.085,329.035,328.985,0
AEX25_CFD,IBNL25,2012-09-28,330.61,330.66,324.485,324.685,327.5725,0
AEX25_CFD,IBNL25,2012-10-01,322.295,327.895,322.245,327.62,325.07,0
AEX25_CFD,IBNL25,2012-10-02,324.92,329.22,324.845,327.295,327.0325,0
AEX25_CFD,IBNL25,2012-10-03,326.045,328.545,325.645,327.77,327.095,0
AEX25_CFD,IBNL25,2012-10-04,329.295,330.095,326.495,327.42,328.295,0
AEX25_CFD,IBNL25,2012-10-05,329.105,332.945,328.405,332.345,330.67499999999995,0
AEX25_CFD,IBNL25,2012-10-08,330.48,330.805,329.305,329.73,330.055,0
AEX25_CFD,IBNL25,2012-10-09,330.205,330.505,327.205,327.28,328.855,0
AEX25_CFD,IBNL25,2012-10-10,326.18,328.18,326.055,327.355,327.1175,0
AEX25_CFD,IBNL25,2012-10-11,325.59,330.49,325.515,329.74,328.0025,0
AEX25_CFD,IBNL25,2012-10-12,328.915,330.315,327.965,328.215,329.14,0
AEX25_CFD,IBNL25,2012-10-15,327.615,331.265,327.515,329.365,329.39,0
AEX25_CFD,IBNL25,2012-10-16,332.115,334.09,330.665,333.765,332.3775,0
AEX25_CFD,IBNL25,2012-10-17,334.28,335.875,334.125,335.625,335.0,0
AEX25_CFD,IBNL25,2012-10-18,335.175,335.7,333.225,335.375,334.4625,0
AEX25_CFD,IBNL25,2012-10-19,335.78,335.98,333.88,333.905,334.93,0
AEX25_CFD,IBNL25,2012-10-22,333.915,336.665,333.615,334.165,335.14,0
AEX25_CFD,IBNL25,2012-10-23,334.565,334.715,326.165,326.715,330.44,0
AEX25_CFD,IBNL25,2012-10-24,327.395,329.265,325.315,328.74,327.28999999999996,0
AEX25_CFD,IBNL25,2012-10-25,329.125,331.665,328.725,329.3,330.19500000000005,0
AEX25_CFD,IBNL25,2012-10-26,327.875,330.475,326.325,329.475,328.4,0
AEX25_CFD,IBNL25,2012-10-29,328.235,329.335,326.985,328.46,328.15999999999997,0
AEX25_CFD,IBNL25,2012-10-30,328.935,332.335,328.785,331.985,330.56,0
AEX25_CFD,IBNL25,2012-10-31,332.14,333.715,330.515,330.515,332.115,0
AEX25_CFD,IBNL25,2012-11-01,329.64,335.465,329.64,335.015,332.5525,0
AEX25_CFD,IBNL25,2012-11-02,335.115,338.065,334.415,336.915,336.24,0
AEX25_CFD,IBNL25,2012-11-05,335.475,336.075,334.125,334.75,335.1,0
AEX25_CFD,IBNL25,2012-11-06,334.925,337.55,333.1,336.625,335.32500000000005,0
AEX25_CFD,IBNL25,2012-11-07,338.025,339.9,332.525,332.725,336.2125,0
AEX25_CFD,IBNL25,2012-11-08,334.55,334.975,331.25,331.25,333.1125,0
AEX25_CFD,IBNL25,2012-11-09,331.815,332.265,327.99,331.74,330.1275,0
AEX25_CFD,IBNL25,2012-11-12,331.765,333.615,330.635,332.09,332.125,0
AEX25_CFD,IBNL25,2012-11-13,330.525,334.505,329.375,333.575,331.94,0
AEX25_CFD,IBNL25,2012-11-14,332.95,334.075,330.125,331.15,332.1,0
AEX25_CFD,IBNL25,2012-11-15,328.75,328.8,324.575,324.675,326.6875,0
AEX25_CFD,IBNL25,2012-11-16,324.165,325.065,319.715,319.99,322.39,0
AEX25_CFD,IBNL25,2012-11-19,321.885,325.025,320.785,324.925,322.905,0
AEX25_CFD,IBNL25,2012-11-20,323.785,326.235,323.585,326.06,324.90999999999997,0
AEX25_CFD,IBNL25,2012-11-21,325.51,327.06,324.785,326.485,325.9225,0
AEX25_CFD,IBNL25,2012-11-22,327.485,328.26,327.285,328.035,327.77250000000004,0
AEX25_CFD,IBNL25,2012-11-23,328.185,331.435,327.06,331.11,329.2475,0
AEX25_CFD,IBNL25,2012-11-26,331.145,332.295,330.17,330.795,331.2325,0
AEX25_CFD,IBNL25,2012-11-27,332.155,334.395,332.095,333.045,333.245,0
AEX25_CFD,IBNL25,2012-11-28,331.645,334.52,331.295,334.495,332.9075,0
AEX25_CFD,IBNL25,2012-11-29,336.105,338.495,335.765,338.145,337.13,0
AEX25_CFD,IBNL25,2012-11-30,338.195,339.545,337.22,337.22,338.38250000000005,0
