full_name,ticker,date,open,high,low,close,average_price,volume
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-21,5.02125,5.0725,4.995,4.99625,5.0337499999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-22,4.9435,5.02,4.892,4.9645,4.9559999999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-23,5.0115,5.055,5.0045,5.025,5.02975,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-26,5.0495,5.0535,5.009,5.0285,5.03125,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-27,5.034,5.086,5.0215,5.0715,5.05375,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-28,5.017,5.075,5.013,5.0625,5.0440000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-29,5.1215,5.138,5.0965,5.1025,5.11725,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-01-30,5.1405,5.181,5.09,5.1785,5.1355,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-02,5.165,5.199,5.1275,5.1435,5.16325,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-03,5.1435,5.162,5.0775,5.0865,5.11975,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-04,5.041,5.068,4.991,5.0075,5.0295,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-05,5.084,5.084,5.002,5.006,5.042999999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-06,5.012,5.0235,4.905,4.921,4.96425,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-09,4.954,4.971,4.9355,4.939,4.953250000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-10,4.8935,4.9035,4.8615,4.884,4.8825,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-11,4.883,4.9085,4.849,4.856,4.87875,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-12,4.8825,4.896,4.8285,4.888,4.8622499999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-13,4.8655,4.8765,4.827,4.8385,4.85175,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-16,4.864,4.8675,4.7855,4.7915,4.826499999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-17,4.8295,4.84,4.766,4.78,4.803,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-18,4.766,4.777,4.7325,4.768,4.75475,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-19,4.7785,4.796,4.754,4.7715,4.775,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-20,4.7535,4.7995,4.739,4.7805,4.7692499999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-23,4.771,4.7935,4.737,4.786,4.76525,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-24,4.807,4.8265,4.779,4.8185,4.80275,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-25,4.864,4.894,4.8505,4.858,4.87225,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-26,4.903,4.9085,4.8555,4.872,4.882,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-02-27,4.884,4.887,4.8145,4.8445,4.85075,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-02,4.8575,4.865,4.7965,4.7965,4.83075,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-03,4.786,4.7925,4.7575,4.7805,4.775,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-04,4.7435,4.78,4.7435,4.7545,4.76175,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-05,4.757,4.7725,4.7355,4.7375,4.754,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-06,4.758,4.7645,4.638,4.644,4.70125,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-09,4.6585,4.697,4.654,4.681,4.6754999999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-10,4.699,4.752,4.6885,4.7485,4.72025,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-11,4.7755,4.7825,4.7325,4.761,4.7575,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-12,4.782,4.831,4.762,4.7965,4.7965,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-13,4.7715,4.799,4.7295,4.787,4.7642500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-16,4.802,4.82,4.774,4.8115,4.797000000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-17,4.8185,4.856,4.793,4.852,4.8245000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2015-03-18,4.857,4.8945,4.8515,4.8775,4.872999999999999,0
