full_name,ticker,date,open,high,low,close,average_price,volume
iShares Core MSCI World UCITS ETF,IWDA,2010-09-16,25.835,25.875,25.725,25.745,25.8,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-17,26.005,26.155,25.735,25.775,25.945,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-20,25.855,26.135,25.845,26.115,25.990000000000002,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-21,26.085,26.235,26.055,26.095,26.145,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-22,26.285,26.315,26.015,26.065,26.165,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-23,26.295,26.295,25.765,26.005,26.03,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-24,25.915,26.395,25.825,26.375,26.11,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-27,26.435,26.485,26.315,26.355,26.4,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-28,26.235,26.405,26.055,26.405,26.23,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-29,26.485,26.605,26.285,26.385,26.445,0
iShares Core MSCI World UCITS ETF,IWDA,2010-09-30,26.345,26.63,26.215,26.225,26.4225,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-01,26.295,26.515,26.265,26.325,26.39,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-04,26.395,26.395,26.145,26.165,26.27,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-05,26.175,26.72,26.145,26.69,26.432499999999997,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-06,26.895,26.98,26.785,26.89,26.8825,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-07,26.995,27.15,26.82,26.87,26.985,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-08,26.905,26.985,26.685,26.96,26.835,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-11,27.02,27.1,26.97,27.0,27.035,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-12,26.855,26.93,26.625,26.87,26.7775,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-13,27.0,27.41,27.0,27.31,27.205,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-14,27.48,27.6,27.295,27.31,27.4475,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-15,27.415,27.56,27.11,27.3,27.335,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-18,27.175,27.395,27.02,27.31,27.2075,0
iShares Core MSCI World UCITS ETF,IWDA,2010-10-19,27.265,27.38,26.95,27.04,27.165,0
