full_name,ticker,date,open,high,low,close,average_price,volume
USDCNH,USDCNH,2012-10-03,6.303,6.30775,6.302,6.306,6.304875,0
USDCNH,USDCNH,2012-10-04,6.306,6.30695,6.3015,6.3015,6.304225,0
USDCNH,USDCNH,2012-10-05,6.3015,6.3055,6.2943,6.2956,6.2999,0
USDCNH,USDCNH,2012-10-08,6.2955,6.3019,6.29205,6.2935,6.296975,0
USDCNH,USDCNH,2012-10-09,6.2935,6.3055,6.2892,6.2935,6.29735,0
USDCNH,USDCNH,2012-10-10,6.2935,6.29475,6.2886,6.2895,6.291675,0
USDCNH,USDCNH,2012-10-11,6.28915,6.2935,6.27915,6.281,6.286325,0
USDCNH,USDCNH,2012-10-12,6.28085,6.2935,6.2699,6.2736,6.2817,0
USDCNH,USDCNH,2012-10-15,6.27,6.2753,6.26545,6.2668,6.270375,0
USDCNH,USDCNH,2012-10-16,6.267,6.2734,6.2619,6.26245,6.26765,0
USDCNH,USDCNH,2012-10-17,6.2623,6.2625,6.25195,6.2526,6.257225,0
USDCNH,USDCNH,2012-10-18,6.2526,6.262,6.2517,6.256,6.25685,0
USDCNH,USDCNH,2012-10-19,6.256,6.2605,6.254,6.257,6.25725,0
USDCNH,USDCNH,2012-10-22,6.256,6.2656,6.2502,6.25025,6.2579,0
USDCNH,USDCNH,2012-10-23,6.2516,6.2551,6.24965,6.2542,6.252375,0
USDCNH,USDCNH,2012-10-24,6.25405,6.25765,6.2414,6.2446,6.249525,0
USDCNH,USDCNH,2012-10-25,6.24435,6.254,6.2334,6.23775,6.2437,0
USDCNH,USDCNH,2012-10-26,6.2387,6.24625,6.2295,6.2452,6.237875,0
USDCNH,USDCNH,2012-10-29,6.2425,6.2453,6.2399,6.2422,6.2425999999999995,0
USDCNH,USDCNH,2012-10-29,6.2425,6.24825,6.2425,6.2475,6.245374999999999,0
USDCNH,USDCNH,2012-10-30,6.2475,6.2494,6.24245,6.2436,6.245925,0
USDCNH,USDCNH,2012-10-31,6.243,6.2466,6.2409,6.24225,6.24375,0
USDCNH,USDCNH,2012-11-01,6.242,6.24485,6.24125,6.24175,6.24305,0
USDCNH,USDCNH,2012-11-02,6.242,6.24625,6.23925,6.2418,6.24275,0
USDCNH,USDCNH,2012-11-05,6.2425,6.24565,6.24035,6.2415,6.243,0
USDCNH,USDCNH,2012-11-06,6.2415,6.2418,6.23825,6.24075,6.240024999999999,0
USDCNH,USDCNH,2012-11-07,6.24085,6.3374,6.2335,6.23645,6.28545,0
USDCNH,USDCNH,2012-11-08,6.2365,6.239,6.23445,6.23445,6.236725,0
USDCNH,USDCNH,2012-11-09,6.2365,6.2366,6.22675,6.2366,6.231675,0
USDCNH,USDCNH,2012-11-12,6.2348,6.2348,6.222,6.222,6.228400000000001,0
USDCNH,USDCNH,2012-11-13,6.2365,6.2365,6.21715,6.2179,6.226825,0
USDCNH,USDCNH,2012-11-14,6.2175,6.2191,6.21015,6.2141,6.214625,0
USDCNH,USDCNH,2012-11-15,6.214,6.23425,6.21,6.23025,6.222125,0
USDCNH,USDCNH,2012-11-16,6.2303,6.2448,6.2265,6.242,6.23565,0
USDCNH,USDCNH,2012-11-19,6.24375,6.24375,6.23085,6.23095,6.2373,0
USDCNH,USDCNH,2012-11-20,6.2335,6.23475,6.22875,6.2343,6.23175,0
USDCNH,USDCNH,2012-11-21,6.2329,6.23585,6.23,6.2322,6.232925,0
USDCNH,USDCNH,2012-11-22,6.2313,6.2327,6.2293,6.22945,6.231,0
USDCNH,USDCNH,2012-11-23,6.2281,6.23025,6.225,6.2289,6.227625,0
USDCNH,USDCNH,2012-11-26,6.2263,6.2275,6.2244,6.2254,6.22595,0
USDCNH,USDCNH,2012-11-27,6.2255,6.22575,6.2207,6.22475,6.223224999999999,0
USDCNH,USDCNH,2012-11-28,6.2245,6.2291,6.22235,6.223,6.225725,0
USDCNH,USDCNH,2012-11-29,6.22245,6.2245,6.20655,6.21065,6.2155249999999995,0
USDCNH,USDCNH,2012-11-30,6.21095,6.21715,6.20375,6.21265,6.21045,0
USDCNH,USDCNH,2012-12-03,6.22025,6.22025,6.21085,6.2134,6.21555,0
USDCNH,USDCNH,2012-12-04,6.2134,6.21465,6.20675,6.20715,6.2107,0
USDCNH,USDCNH,2012-12-05,6.207,6.21675,6.2049,6.2105,6.210825,0
USDCNH,USDCNH,2012-12-06,6.2105,6.21655,6.20805,6.213,6.2123,0
USDCNH,USDCNH,2012-12-07,6.213,6.2134,6.20825,6.2094,6.210825,0
USDCNH,USDCNH,2012-12-10,6.213,6.213,6.2038,6.2091,6.2084,0
USDCNH,USDCNH,2012-12-11,6.21035,6.2278,6.2098,6.2278,6.2188,0
USDCNH,USDCNH,2012-12-12,6.227,6.2288,6.22255,6.2245,6.225675,0
USDCNH,USDCNH,2012-12-13,6.2245,6.22865,6.21665,6.22065,6.22265,0
USDCNH,USDCNH,2012-12-14,6.2215,6.22455,6.21875,6.2195,6.22165,0
USDCNH,USDCNH,2012-12-17,6.2147,6.2187,6.21275,6.21675,6.215725,0
USDCNH,USDCNH,2012-12-18,6.21675,6.2198,6.2082,6.2087,6.214,0
USDCNH,USDCNH,2012-12-19,6.2115,6.2121,6.2047,6.20635,6.2084,0
USDCNH,USDCNH,2012-12-20,6.20455,6.2152,6.20455,6.2129,6.209875,0
USDCNH,USDCNH,2012-12-21,6.2145,6.22555,6.211,6.2159,6.218275,0
USDCNH,USDCNH,2012-12-24,6.224,6.2295,6.2159,6.226,6.2227,0
USDCNH,USDCNH,2012-12-26,6.225,6.2322,6.2244,6.2282,6.2283,0
USDCNH,USDCNH,2012-12-27,6.2304,6.234,6.2225,6.22895,6.22825,0
USDCNH,USDCNH,2012-12-28,6.229,6.23105,6.2151,6.2151,6.223075,0
USDCNH,USDCNH,2012-12-31,6.2249,6.22975,6.2194,6.2225,6.224575,0
USDCNH,USDCNH,2013-01-02,6.2225,6.22275,6.2018,6.21485,6.212275,0
USDCNH,USDCNH,2013-01-03,6.2052,6.2145,6.20485,6.2135,6.209675000000001,0
USDCNH,USDCNH,2013-01-04,6.2166,6.21735,6.21045,6.21235,6.2139,0
USDCNH,USDCNH,2013-01-07,6.22055,6.22055,6.20855,6.20925,6.21455,0
USDCNH,USDCNH,2013-01-08,6.2093,6.2154,6.20445,6.206,6.209925,0
USDCNH,USDCNH,2013-01-09,6.206,6.2135,6.19675,6.19675,6.205125,0
USDCNH,USDCNH,2013-01-10,6.2019,6.20345,6.183,6.185,6.193225,0
USDCNH,USDCNH,2013-01-11,6.1855,6.1891,6.175,6.18635,6.18205,0
USDCNH,USDCNH,2013-01-14,6.1853,6.19,6.1772,6.184,6.1836,0
USDCNH,USDCNH,2013-01-15,6.1847,6.19325,6.1836,6.1931,6.1884250000000005,0
USDCNH,USDCNH,2013-01-16,6.19145,6.197,6.18635,6.1864,6.191675,0
USDCNH,USDCNH,2013-01-17,6.1872,6.1911,6.18305,6.1835,6.187075,0
USDCNH,USDCNH,2013-01-18,6.1835,6.1919,6.1834,6.18625,6.18765,0
USDCNH,USDCNH,2013-01-21,6.185,6.1962,6.185,6.1953,6.1906,0
USDCNH,USDCNH,2013-01-22,6.1952,6.2002,6.195,6.1961,6.1975999999999996,0
USDCNH,USDCNH,2013-01-23,6.1961,6.2056,6.19575,6.20125,6.200675,0
USDCNH,USDCNH,2013-01-24,6.2014,6.2076,6.1979,6.2052,6.20275,0
USDCNH,USDCNH,2013-01-25,6.2052,6.227,6.1994,6.2236,6.2132000000000005,0
USDCNH,USDCNH,2013-01-28,6.2212,6.23495,6.2205,6.23155,6.227725,0
USDCNH,USDCNH,2013-01-29,6.2325,6.23465,6.21855,6.22,6.2265999999999995,0
USDCNH,USDCNH,2013-01-30,6.2189,6.22,6.20925,6.20945,6.214625,0
USDCNH,USDCNH,2013-01-31,6.2122,6.21625,6.2062,6.2109,6.211225,0
USDCNH,USDCNH,2013-02-01,6.2113,6.2181,6.20785,6.2115,6.212975,0
USDCNH,USDCNH,2013-02-04,6.2108,6.21795,6.2089,6.2175,6.213425,0
USDCNH,USDCNH,2013-02-05,6.21725,6.2216,6.2135,6.21475,6.217549999999999,0
USDCNH,USDCNH,2013-02-06,6.21465,6.21825,6.2129,6.2152,6.215575,0
USDCNH,USDCNH,2013-02-07,6.2175,6.22495,6.21075,6.2237,6.21785,0
USDCNH,USDCNH,2013-02-08,6.2248,6.2283,6.215,6.2283,6.22165,0
USDCNH,USDCNH,2013-02-11,6.221,6.2294,6.2206,6.221,6.225,0
USDCNH,USDCNH,2013-02-12,6.221,6.2258,6.2156,6.219,6.2207,0
USDCNH,USDCNH,2013-02-13,6.219,6.2225,6.2175,6.2217,6.220000000000001,0
USDCNH,USDCNH,2013-02-14,6.2216,6.22195,6.2185,6.2208,6.220224999999999,0
USDCNH,USDCNH,2013-02-15,6.2216,6.22405,6.2168,6.22405,6.2204250000000005,0
USDCNH,USDCNH,2013-02-18,6.2203,6.2338,6.2193,6.2285,6.22655,0
USDCNH,USDCNH,2013-02-19,6.2327,6.2425,6.2283,6.23745,6.2354,0
USDCNH,USDCNH,2013-02-20,6.23645,6.2395,6.2328,6.2384,6.23615,0
USDCNH,USDCNH,2013-02-21,6.23845,6.2444,6.235,6.24205,6.2397,0
USDCNH,USDCNH,2013-02-22,6.24225,6.24305,6.23345,6.23375,6.238250000000001,0
USDCNH,USDCNH,2013-02-25,6.2339,6.2431,6.21795,6.2326,6.230525,0
USDCNH,USDCNH,2013-02-26,6.2328,6.24155,6.2265,6.227,6.234025,0
USDCNH,USDCNH,2013-02-27,6.2265,6.22905,6.22095,6.2214,6.225,0
USDCNH,USDCNH,2013-02-28,6.2214,6.2275,6.21655,6.22085,6.222025,0
USDCNH,USDCNH,2013-03-01,6.2211,6.22295,6.21525,6.22105,6.2191,0
USDCNH,USDCNH,2013-03-04,6.2206,6.22635,6.2204,6.22445,6.223375,0
