full_name,ticker,date,open,high,low,close,average_price,volume
USDHKD,USDHKD,2005-03-09,7.79985,7.7999,7.7995,7.79955,7.7997,0
USDHKD,USDHKD,2005-03-10,7.79935,7.79975,7.79855,7.79965,7.79915,0
USDHKD,USDHKD,2005-03-11,7.79955,7.79975,7.79835,7.79905,7.79905,0
USDHKD,USDHKD,2005-03-13,7.79935,7.79955,7.79925,7.79945,7.7994,0
USDHKD,USDHKD,2005-03-14,7.79935,7.7999,7.79935,7.79985,7.799625,0
USDHKD,USDHKD,2005-03-15,7.79975,7.79995,7.79965,7.79975,7.799799999999999,0
USDHKD,USDHKD,2005-03-16,7.79985,7.79995,7.79955,7.79975,7.7997499999999995,0
USDHKD,USDHKD,2005-03-17,7.79965,7.7999,7.79925,7.79955,7.799575,0
USDHKD,USDHKD,2005-03-18,7.79945,7.79965,7.79725,7.79905,7.79845,0
USDHKD,USDHKD,2005-03-20,7.79895,7.79925,7.79835,7.79905,7.7988,0
USDHKD,USDHKD,2005-03-21,7.79895,7.79965,7.79835,7.79935,7.7989999999999995,0
USDHKD,USDHKD,2005-03-22,7.79945,7.7999,7.79915,7.79945,7.799525,0
USDHKD,USDHKD,2005-03-23,7.79935,7.79985,7.79935,7.79975,7.7996,0
USDHKD,USDHKD,2005-03-24,7.79965,7.79995,7.79955,7.79975,7.7997499999999995,0
USDHKD,USDHKD,2005-03-25,7.79985,7.79985,7.79965,7.79975,7.7997499999999995,0
USDHKD,USDHKD,2005-03-27,7.79975,7.79985,7.79975,7.79975,7.7998,0
USDHKD,USDHKD,2005-03-28,7.79965,7.7999,7.79965,7.79985,7.799775,0
USDHKD,USDHKD,2005-03-29,7.79995,7.79995,7.79855,7.79955,7.79925,0
USDHKD,USDHKD,2005-03-30,7.79945,7.7997,7.79865,7.79905,7.799175,0
USDHKD,USDHKD,2005-03-31,7.79895,7.79965,7.79895,7.79935,7.7993,0
USDHKD,USDHKD,2005-04-01,7.79945,7.79945,7.79845,7.79875,7.79895,0
USDHKD,USDHKD,2005-04-03,7.79905,7.79935,7.79905,7.79935,7.7992,0
USDHKD,USDHKD,2005-04-04,7.79925,7.79985,7.79905,7.79965,7.79945,0
USDHKD,USDHKD,2005-04-05,7.79965,7.7998,7.79925,7.79925,7.799525,0
USDHKD,USDHKD,2005-04-06,7.79935,7.79965,7.79875,7.79915,7.7992,0
USDHKD,USDHKD,2005-04-07,7.79905,7.79955,7.79865,7.79935,7.7991,0
USDHKD,USDHKD,2005-04-08,7.79945,7.79945,7.79855,7.799,7.7989999999999995,0
USDHKD,USDHKD,2005-04-10,7.79905,7.79925,7.79865,7.79895,7.79895,0
USDHKD,USDHKD,2005-04-11,7.79905,7.79945,7.79895,7.79935,7.7992,0
USDHKD,USDHKD,2005-04-12,7.79925,7.7994,7.79885,7.79935,7.799125,0
USDHKD,USDHKD,2005-04-13,7.79925,7.79945,7.79845,7.79895,7.79895,0
USDHKD,USDHKD,2005-04-14,7.79905,7.79915,7.79865,7.79885,7.7989,0
USDHKD,USDHKD,2005-04-15,7.79875,7.79895,7.79775,7.7981,7.798349999999999,0
USDHKD,USDHKD,2005-04-17,7.79845,7.7988,7.79835,7.79835,7.798575,0
USDHKD,USDHKD,2005-04-18,7.7984,7.7995,7.79835,7.79905,7.7989250000000006,0
USDHKD,USDHKD,2005-04-19,7.79895,7.79935,7.79835,7.79895,7.79885,0
USDHKD,USDHKD,2005-04-20,7.799,7.7997,7.7987,7.79925,7.7992,0
USDHKD,USDHKD,2005-04-21,7.7993,7.79955,7.79835,7.79865,7.79895,0
USDHKD,USDHKD,2005-04-22,7.7987,7.79895,7.79415,7.79555,7.79655,0
USDHKD,USDHKD,2005-04-24,7.79555,7.79765,7.79475,7.79735,7.7962,0
USDHKD,USDHKD,2005-04-25,7.79725,7.79785,7.79505,7.79725,7.79645,0
USDHKD,USDHKD,2005-04-26,7.79735,7.79895,7.79695,7.79865,7.79795,0
USDHKD,USDHKD,2005-04-27,7.79855,7.79935,7.79755,7.79785,7.79845,0
USDHKD,USDHKD,2005-04-28,7.79795,7.7992,7.79765,7.79875,7.798425,0
USDHKD,USDHKD,2005-04-29,7.79885,7.79885,7.792,7.79355,7.795425,0
USDHKD,USDHKD,2005-05-01,7.79165,7.796,7.79165,7.79535,7.793825,0
USDHKD,USDHKD,2005-05-02,7.79525,7.79775,7.79525,7.7971,7.7965,0
USDHKD,USDHKD,2005-05-03,7.79705,7.79715,7.78575,7.79125,7.79145,0
USDHKD,USDHKD,2005-05-04,7.79135,7.79505,7.79065,7.79395,7.79285,0
USDHKD,USDHKD,2005-05-05,7.79385,7.79405,7.79095,7.79165,7.7925,0
USDHKD,USDHKD,2005-05-06,7.79175,7.79385,7.79145,7.79255,7.79265,0
USDHKD,USDHKD,2005-05-08,7.79375,7.79515,7.79355,7.79495,7.79435,0
USDHKD,USDHKD,2005-05-09,7.79485,7.79835,7.79485,7.79835,7.7966,0
USDHKD,USDHKD,2005-05-10,7.79825,7.79895,7.79815,7.79855,7.79855,0
USDHKD,USDHKD,2005-05-11,7.79845,7.79905,7.79355,7.79755,7.7963000000000005,0
USDHKD,USDHKD,2005-05-12,7.79745,7.79895,7.79575,7.79825,7.79735,0
USDHKD,USDHKD,2005-05-13,7.79835,7.79905,7.79815,7.79855,7.7986,0
USDHKD,USDHKD,2005-05-15,7.7983,7.79945,7.7983,7.7992,7.798875000000001,0
USDHKD,USDHKD,2005-05-16,7.79925,7.79965,7.79885,7.79955,7.79925,0
USDHKD,USDHKD,2005-05-17,7.7995,7.79975,7.799,7.79925,7.799375,0
USDHKD,USDHKD,2005-05-18,7.79915,7.811,7.7907,7.79395,7.8008500000000005,0
