full_name,ticker,date,open,high,low,close,average_price,volume
USDHUF,USDHUF,2010-05-07,223.405,224.835,217.975,219.26,221.405,0
USDHUF,USDHUF,2010-05-10,216.47,217.98,208.57,213.905,213.27499999999998,0
USDHUF,USDHUF,2010-05-11,213.98,218.235,213.6,217.565,215.91750000000002,0
USDHUF,USDHUF,2010-05-12,217.525,218.455,214.58,215.49,216.5175,0
USDHUF,USDHUF,2010-05-13,215.42,218.53,214.185,218.24,216.35750000000002,0
USDHUF,USDHUF,2010-05-14,218.29,224.435,216.97,224.29,220.7025,0
USDHUF,USDHUF,2010-05-17,224.12,227.645,223.445,223.945,225.54500000000002,0
USDHUF,USDHUF,2010-05-18,223.69,230.065,222.645,229.115,226.35500000000002,0
USDHUF,USDHUF,2010-05-19,229.5,231.515,225.415,225.81,228.46499999999997,0
USDHUF,USDHUF,2010-05-20,225.555,230.73,222.1,225.51,226.415,0
USDHUF,USDHUF,2010-05-21,225.515,225.89,220.95,222.275,223.42,0
USDHUF,USDHUF,2010-05-24,222.72,225.935,221.545,225.02,223.74,0
USDHUF,USDHUF,2010-05-25,225.445,231.095,225.36,226.0,228.22750000000002,0
USDHUF,USDHUF,2010-05-26,225.575,229.255,224.855,228.87,227.055,0
USDHUF,USDHUF,2010-05-27,229.05,229.245,221.865,222.63,225.555,0
USDHUF,USDHUF,2010-05-28,222.535,224.97,218.965,223.915,221.9675,0
USDHUF,USDHUF,2010-05-31,224.475,224.855,222.64,223.56,223.7475,0
USDHUF,USDHUF,2010-06-01,223.58,228.695,222.375,226.455,225.535,0
USDHUF,USDHUF,2010-06-02,226.37,227.015,224.72,224.835,225.8675,0
USDHUF,USDHUF,2010-06-03,224.805,232.335,222.27,232.0,227.3025,0
USDHUF,USDHUF,2010-06-04,232.13,242.515,229.33,241.305,235.9225,0
USDHUF,USDHUF,2010-06-07,241.195,243.015,236.625,240.385,239.82,0
USDHUF,USDHUF,2010-06-08,240.765,241.125,235.025,236.49,238.075,0
USDHUF,USDHUF,2010-06-09,236.455,237.98,232.72,235.295,235.35,0
USDHUF,USDHUF,2010-06-10,235.31,236.06,229.175,229.45,232.6175,0
USDHUF,USDHUF,2010-06-11,230.0,234.01,228.98,232.195,231.495,0
USDHUF,USDHUF,2010-06-14,232.4,232.69,226.38,228.515,229.535,0
USDHUF,USDHUF,2010-06-15,228.5,230.6,225.85,226.2,228.225,0
USDHUF,USDHUF,2010-06-16,226.365,229.62,224.955,227.135,227.28750000000002,0
USDHUF,USDHUF,2010-06-17,227.055,229.9,224.445,226.055,227.1725,0
USDHUF,USDHUF,2010-06-18,226.085,227.47,224.88,225.5,226.175,0
USDHUF,USDHUF,2010-06-21,222.97,227.88,220.665,227.605,224.27249999999998,0
USDHUF,USDHUF,2010-06-22,226.98,228.925,226.25,228.21,227.5875,0
USDHUF,USDHUF,2010-06-23,228.23,230.425,227.03,227.415,228.72750000000002,0
USDHUF,USDHUF,2010-06-24,227.555,231.505,226.555,229.49,229.03,0
USDHUF,USDHUF,2010-06-25,229.665,233.14,228.255,230.07,230.6975,0
USDHUF,USDHUF,2010-06-28,229.575,233.315,228.325,232.825,230.82,0
USDHUF,USDHUF,2010-06-29,232.745,237.06,232.535,235.87,234.7975,0
USDHUF,USDHUF,2010-06-30,236.135,236.3,231.515,233.07,233.9075,0
USDHUF,USDHUF,2010-07-01,233.135,235.35,228.115,228.3,231.73250000000002,0
USDHUF,USDHUF,2010-07-02,228.46,229.24,225.64,228.145,227.44,0
USDHUF,USDHUF,2010-07-05,227.57,228.705,226.635,227.93,227.67000000000002,0
USDHUF,USDHUF,2010-07-06,227.855,228.935,224.25,225.48,226.5925,0
USDHUF,USDHUF,2010-07-07,225.455,227.16,223.425,223.845,225.29250000000002,0
USDHUF,USDHUF,2010-07-08,224.19,224.41,220.265,220.685,222.33749999999998,0
USDHUF,USDHUF,2010-07-09,220.745,222.66,220.11,221.095,221.385,0
USDHUF,USDHUF,2010-07-12,221.28,223.075,220.775,220.88,221.925,0
USDHUF,USDHUF,2010-07-13,220.98,222.675,218.03,218.375,220.35250000000002,0
USDHUF,USDHUF,2010-07-14,218.265,219.98,217.375,218.45,218.6775,0
USDHUF,USDHUF,2010-07-15,218.435,219.205,216.15,216.22,217.6775,0
USDHUF,USDHUF,2010-07-16,216.35,218.5,215.79,218.195,217.14499999999998,0
USDHUF,USDHUF,2010-07-19,223.425,225.26,221.4,223.84,223.32999999999998,0
USDHUF,USDHUF,2010-07-20,224.02,226.37,221.75,222.73,224.06,0
USDHUF,USDHUF,2010-07-21,222.655,224.655,221.285,223.66,222.97,0
USDHUF,USDHUF,2010-07-22,223.995,224.68,219.17,219.955,221.925,0
USDHUF,USDHUF,2010-07-23,219.865,225.045,219.425,222.835,222.235,0
USDHUF,USDHUF,2010-07-26,223.285,223.615,219.825,220.39,221.72,0
USDHUF,USDHUF,2010-07-27,220.405,220.725,217.035,217.545,218.88,0
USDHUF,USDHUF,2010-07-28,217.775,218.96,216.16,218.36,217.56,0
USDHUF,USDHUF,2010-07-29,218.02,218.325,215.575,217.46,216.95,0
USDHUF,USDHUF,2010-07-30,217.445,220.8,216.96,217.58,218.88,0
USDHUF,USDHUF,2010-08-02,217.47,217.705,212.675,213.08,215.19,0
USDHUF,USDHUF,2010-08-03,213.02,214.36,211.745,212.935,213.0525,0
USDHUF,USDHUF,2010-08-04,212.885,214.36,212.24,213.465,213.3,0
USDHUF,USDHUF,2010-08-05,213.435,214.52,211.18,212.135,212.85000000000002,0
USDHUF,USDHUF,2010-08-06,212.195,212.37,209.065,210.705,210.7175,0
USDHUF,USDHUF,2010-08-09,210.555,211.01,209.77,210.22,210.39,0
USDHUF,USDHUF,2010-08-10,210.12,214.085,210.015,211.665,212.05,0
USDHUF,USDHUF,2010-08-11,211.64,219.305,211.545,218.715,215.425,0
USDHUF,USDHUF,2010-08-12,219.5,220.95,217.545,218.625,219.2475,0
USDHUF,USDHUF,2010-08-13,218.705,220.59,216.08,220.145,218.335,0
USDHUF,USDHUF,2010-08-16,220.135,220.67,217.265,218.085,218.96749999999997,0
USDHUF,USDHUF,2010-08-17,218.0,218.875,215.675,215.97,217.275,0
USDHUF,USDHUF,2010-08-18,215.955,218.64,214.325,215.75,216.4825,0
USDHUF,USDHUF,2010-08-19,215.66,217.835,214.6,217.125,216.2175,0
USDHUF,USDHUF,2010-08-20,217.105,220.78,216.495,219.28,218.6375,0
USDHUF,USDHUF,2010-08-23,219.655,223.635,219.07,223.505,221.3525,0
USDHUF,USDHUF,2010-08-24,223.475,227.09,222.2,223.665,224.64499999999998,0
USDHUF,USDHUF,2010-08-25,223.78,226.12,220.99,224.74,223.555,0
USDHUF,USDHUF,2010-08-26,224.56,224.69,221.33,223.605,223.01,0
USDHUF,USDHUF,2010-08-27,223.065,224.52,221.56,222.4,223.04000000000002,0
USDHUF,USDHUF,2010-08-30,222.2,225.885,221.905,225.875,223.89499999999998,0
USDHUF,USDHUF,2010-08-31,225.835,227.59,224.35,226.29,225.97,0
USDHUF,USDHUF,2010-09-01,226.23,226.72,221.51,221.735,224.115,0
USDHUF,USDHUF,2010-09-02,221.86,222.79,221.24,221.66,222.015,0
USDHUF,USDHUF,2010-09-03,221.635,222.36,219.965,220.395,221.16250000000002,0
USDHUF,USDHUF,2010-09-06,220.495,221.58,219.075,221.235,220.3275,0
USDHUF,USDHUF,2010-09-07,221.24,227.125,221.21,227.03,224.16750000000002,0
USDHUF,USDHUF,2010-09-08,227.01,228.385,224.73,225.525,226.5575,0
USDHUF,USDHUF,2010-09-09,225.47,227.48,222.855,224.22,225.1675,0
USDHUF,USDHUF,2010-09-10,224.2,225.095,222.33,223.965,223.7125,0
USDHUF,USDHUF,2010-09-13,223.57,223.8,219.62,219.75,221.71,0
USDHUF,USDHUF,2010-09-14,219.785,221.55,215.54,216.395,218.54500000000002,0
USDHUF,USDHUF,2010-09-15,216.445,217.645,215.79,216.795,216.7175,0
USDHUF,USDHUF,2010-09-16,216.885,217.6,214.815,216.245,216.20749999999998,0
USDHUF,USDHUF,2010-09-17,216.255,217.06,214.52,216.29,215.79000000000002,0
USDHUF,USDHUF,2010-09-20,216.19,216.65,214.02,214.925,215.335,0
USDHUF,USDHUF,2010-09-21,214.875,215.065,210.38,210.975,212.7225,0
USDHUF,USDHUF,2010-09-22,211.11,211.53,207.305,208.38,209.41750000000002,0
USDHUF,USDHUF,2010-09-23,208.6,211.115,207.99,210.38,209.5525,0
USDHUF,USDHUF,2010-09-24,210.345,210.795,205.39,205.505,208.09249999999997,0
USDHUF,USDHUF,2010-09-27,205.695,206.625,204.745,206.28,205.685,0
USDHUF,USDHUF,2010-09-28,206.325,208.06,203.36,203.88,205.71,0
USDHUF,USDHUF,2010-09-29,203.765,204.48,202.335,203.46,203.4075,0
USDHUF,USDHUF,2010-09-30,203.48,204.83,201.875,202.615,203.35250000000002,0
USDHUF,USDHUF,2010-10-01,202.7,202.93,198.315,198.585,200.6225,0
USDHUF,USDHUF,2010-10-04,198.15,200.49,198.135,199.915,199.3125,0
USDHUF,USDHUF,2010-10-05,199.915,200.725,194.475,194.92,197.6,0
USDHUF,USDHUF,2010-10-06,195.06,196.27,193.98,194.6,195.125,0
USDHUF,USDHUF,2010-10-07,194.55,198.18,193.44,197.03,195.81,0
USDHUF,USDHUF,2010-10-08,196.955,199.175,196.24,197.385,197.7075,0
USDHUF,USDHUF,2010-10-11,196.85,197.51,195.795,197.085,196.65249999999997,0
USDHUF,USDHUF,2010-10-12,197.045,199.35,196.61,196.68,197.98000000000002,0
USDHUF,USDHUF,2010-10-13,196.61,197.015,194.555,194.985,195.785,0
USDHUF,USDHUF,2010-10-14,194.975,195.94,192.1,194.615,194.01999999999998,0
USDHUF,USDHUF,2010-10-15,194.84,196.72,193.375,196.03,195.0475,0
USDHUF,USDHUF,2010-10-18,196.135,200.415,196.1,197.745,198.2575,0
USDHUF,USDHUF,2010-10-19,197.99,202.65,197.005,202.3,199.8275,0
USDHUF,USDHUF,2010-10-20,202.14,202.855,197.225,197.8,200.04,0
USDHUF,USDHUF,2010-10-21,197.745,199.21,195.365,197.885,197.28750000000002,0
USDHUF,USDHUF,2010-10-22,197.88,199.13,196.505,197.155,197.8175,0
USDHUF,USDHUF,2010-10-25,196.705,197.255,193.765,195.665,195.51,0
USDHUF,USDHUF,2010-10-26,195.53,198.855,195.17,198.17,197.0125,0
USDHUF,USDHUF,2010-10-27,198.14,200.74,197.92,199.815,199.32999999999998,0
USDHUF,USDHUF,2010-10-28,199.845,199.945,195.86,196.21,197.9025,0
USDHUF,USDHUF,2010-10-29,196.265,198.23,194.475,194.485,196.3525,0
USDHUF,USDHUF,2010-11-01,194.445,195.51,193.16,194.86,194.33499999999998,0
USDHUF,USDHUF,2010-11-02,194.84,195.005,192.64,192.99,193.8225,0
USDHUF,USDHUF,2010-11-03,192.965,194.805,191.675,192.415,193.24,0
USDHUF,USDHUF,2010-11-04,192.3,192.915,190.66,192.09,191.7875,0
USDHUF,USDHUF,2010-11-05,192.175,195.75,191.525,195.295,193.6375,0
USDHUF,USDHUF,2010-11-08,195.185,198.33,194.825,197.31,196.5775,0
