full_name,ticker,date,open,high,low,close,average_price,volume
USDJPY,USDJPY,2005-03-09,104.17,104.17,103.66,104.11,103.91499999999999,0
USDJPY,USDJPY,2005-03-10,104.12,104.34,103.78,104.13,104.06,0
USDJPY,USDJPY,2005-03-11,104.05,104.29,103.725,103.99,104.0075,0
USDJPY,USDJPY,2005-03-13,103.95,104.58,103.93,104.42,104.255,0
USDJPY,USDJPY,2005-03-14,104.41,105.19,104.39,104.75,104.78999999999999,0
USDJPY,USDJPY,2005-03-15,104.75,105.0,104.15,104.45,104.575,0
USDJPY,USDJPY,2005-03-16,104.44,104.48,103.905,104.39,104.1925,0
USDJPY,USDJPY,2005-03-17,104.4,104.88,104.13,104.53,104.505,0
USDJPY,USDJPY,2005-03-18,104.53,105.07,104.51,104.74,104.78999999999999,0
USDJPY,USDJPY,2005-03-20,104.77,105.1,104.67,104.95,104.88499999999999,0
USDJPY,USDJPY,2005-03-21,104.94,105.5,104.75,105.11,105.125,0
USDJPY,USDJPY,2005-03-22,105.12,105.69,104.86,105.41,105.275,0
USDJPY,USDJPY,2005-03-23,105.42,106.44,105.28,106.26,105.86,0
USDJPY,USDJPY,2005-03-24,106.25,106.58,106.09,106.33,106.33500000000001,0
USDJPY,USDJPY,2005-03-25,106.41,106.52,106.27,106.375,106.395,0
USDJPY,USDJPY,2005-03-27,106.37,106.99,106.37,106.91,106.68,0
USDJPY,USDJPY,2005-03-28,106.9,107.38,106.68,107.2,107.03,0
USDJPY,USDJPY,2005-03-29,107.21,107.695,106.95,107.2,107.32249999999999,0
USDJPY,USDJPY,2005-03-30,107.21,107.66,107.01,107.27,107.33500000000001,0
USDJPY,USDJPY,2005-03-31,107.26,107.34,106.65,107.15,106.995,0
USDJPY,USDJPY,2005-04-01,107.17,107.79,106.765,107.55,107.2775,0
USDJPY,USDJPY,2005-04-03,107.66,107.77,107.59,107.69,107.68,0
USDJPY,USDJPY,2005-04-04,107.7,108.69,107.66,108.67,108.175,0
USDJPY,USDJPY,2005-04-05,108.66,108.9,108.01,108.08,108.45500000000001,0
USDJPY,USDJPY,2005-04-06,108.07,108.8,107.87,108.47,108.33500000000001,0
USDJPY,USDJPY,2005-04-07,108.47,108.7,108.1,108.625,108.4,0
USDJPY,USDJPY,2005-04-08,108.66,108.88,108.2,108.205,108.53999999999999,0
USDJPY,USDJPY,2005-04-10,108.3,108.53,108.28,108.4,108.405,0
USDJPY,USDJPY,2005-04-11,108.41,108.47,107.53,107.61,108.0,0
USDJPY,USDJPY,2005-04-12,107.62,108.48,107.36,107.45,107.92,0
USDJPY,USDJPY,2005-04-13,107.44,107.78,107.14,107.77,107.46000000000001,0
USDJPY,USDJPY,2005-04-14,107.78,108.43,107.63,108.18,108.03,0
USDJPY,USDJPY,2005-04-15,108.28,108.56,107.47,107.79,108.015,0
USDJPY,USDJPY,2005-04-17,107.65,108.06,107.5,107.98,107.78,0
USDJPY,USDJPY,2005-04-18,107.96,108.03,107.27,107.41,107.65,0
USDJPY,USDJPY,2005-04-19,107.4,107.49,106.73,106.93,107.11,0
USDJPY,USDJPY,2005-04-20,106.92,107.49,106.61,106.85,107.05,0
USDJPY,USDJPY,2005-04-21,106.85,107.44,106.73,106.96,107.08500000000001,0
USDJPY,USDJPY,2005-04-22,106.95,106.98,105.76,106.0,106.37,0
