full_name,ticker,date,open,high,low,close,average_price,volume
USDNOK,USDNOK,2006-09-01,6.32285,6.35355,6.30845,6.3338,6.3309999999999995,0
USDNOK,USDNOK,2006-09-04,6.33095,6.33805,6.31405,6.3267,6.32605,0
USDNOK,USDNOK,2006-09-05,6.33365,6.3577,6.32425,6.3541,6.340975,0
USDNOK,USDNOK,2007-01-17,6.446,6.472,6.4243,6.439,6.44815,0
USDNOK,USDNOK,2007-01-18,6.43815,6.44645,6.43395,6.4394,6.4402,0
USDNOK,USDNOK,2008-01-02,5.42815,5.4485,5.3925,5.3976,5.4205000000000005,0
USDNOK,USDNOK,2008-01-03,5.40235,5.40715,5.34045,5.3504,5.373799999999999,0
USDNOK,USDNOK,2008-01-04,5.3497,5.3655,5.30565,5.3449,5.335575,0
USDNOK,USDNOK,2008-01-07,5.335,5.391,5.3347,5.3721,5.36285,0
USDNOK,USDNOK,2008-01-08,5.37355,5.3777,5.35155,5.36975,5.364625,0
USDNOK,USDNOK,2008-01-09,5.3681,5.39445,5.35555,5.3835,5.375,0
USDNOK,USDNOK,2008-05-23,5.0101,5.0351,4.9974,5.0036,5.016249999999999,0
USDNOK,USDNOK,2008-05-26,5.0055,5.02095,4.99515,5.0168,5.00805,0
USDNOK,USDNOK,2008-05-27,5.01625,5.02515,4.99285,5.0165,5.009,0
USDNOK,USDNOK,2008-05-28,5.0195,5.0518,4.99025,5.03695,5.021025,0
USDNOK,USDNOK,2008-05-29,5.0362,5.09055,5.0275,5.08385,5.059025,0
USDNOK,USDNOK,2008-05-30,5.0819,5.1315,5.07715,5.1044,5.104324999999999,0
USDNOK,USDNOK,2008-06-02,5.0942,5.14175,5.094,5.1258,5.117875,0
USDNOK,USDNOK,2008-06-03,5.1226,5.169,5.09495,5.1635,5.131975,0
USDNOK,USDNOK,2008-06-04,5.1617,5.17435,5.14785,5.1685,5.161099999999999,0
USDNOK,USDNOK,2008-06-05,5.1697,5.1871,5.0984,5.0997,5.1427499999999995,0
USDNOK,USDNOK,2008-06-06,5.09835,5.10875,5.0196,5.0196,5.064175,0
USDNOK,USDNOK,2008-06-09,5.0162,5.0889,5.00725,5.0732,5.048075,0
USDNOK,USDNOK,2008-06-10,5.0768,5.17645,5.0749,5.17115,5.125675,0
USDNOK,USDNOK,2008-06-11,5.17395,5.18115,5.1321,5.1505,5.156625,0
USDNOK,USDNOK,2008-06-12,5.1489,5.22605,5.14275,5.1938,5.1844,0
USDNOK,USDNOK,2008-06-13,5.19475,5.26025,5.1791,5.2282,5.2196750000000005,0
USDNOK,USDNOK,2008-06-16,5.2166,5.24295,5.1619,5.181,5.202425,0
USDNOK,USDNOK,2008-06-17,5.1875,5.19625,5.1488,5.18725,5.172525,0
USDNOK,USDNOK,2008-06-18,5.18725,5.2016,5.1657,5.16795,5.18365,0
USDNOK,USDNOK,2008-06-19,5.16745,5.19775,5.149,5.19,5.173375,0
USDNOK,USDNOK,2008-06-20,5.1868,5.19005,5.13885,5.15375,5.16445,0
USDNOK,USDNOK,2008-06-23,5.1425,5.1818,5.142,5.15105,5.1619,0
USDNOK,USDNOK,2008-06-24,5.14805,5.15885,5.09965,5.11415,5.12925,0
USDNOK,USDNOK,2008-06-25,5.1121,5.12585,5.0639,5.07135,5.094875,0
USDNOK,USDNOK,2008-06-26,5.0722,5.0904,5.04245,5.0503,5.066425,0
USDNOK,USDNOK,2008-06-27,5.05515,5.07485,5.048,5.063,5.061425,0
USDNOK,USDNOK,2008-06-30,5.06425,5.0986,5.04445,5.0886,5.071525,0
USDNOK,USDNOK,2008-07-01,5.08925,5.09965,5.055,5.0707,5.077325,0
USDNOK,USDNOK,2008-07-02,5.0711,5.09915,5.05555,5.05975,5.07735,0
USDNOK,USDNOK,2008-07-03,5.06045,5.1064,5.0558,5.0914,5.081099999999999,0
USDNOK,USDNOK,2008-07-04,5.09295,5.0977,5.0755,5.07735,5.0866,0
USDNOK,USDNOK,2008-07-07,5.0809,5.10625,5.06895,5.08,5.0876,0
USDNOK,USDNOK,2008-07-08,5.0802,5.14325,5.07355,5.1338,5.1084,0
USDNOK,USDNOK,2008-07-09,5.1337,5.14475,5.10385,5.1148,5.1243,0
USDNOK,USDNOK,2008-07-10,5.1146,5.1443,5.1009,5.1017,5.1226,0
USDNOK,USDNOK,2008-07-11,5.1045,5.113,5.0543,5.0621,5.0836500000000004,0
USDNOK,USDNOK,2008-07-14,5.0509,5.08755,5.0451,5.0635,5.066325,0
USDNOK,USDNOK,2008-07-15,5.06265,5.0681,5.00765,5.0507,5.037875,0
USDNOK,USDNOK,2008-07-16,5.0471,5.109,5.0457,5.0985,5.07735,0
USDNOK,USDNOK,2008-07-17,5.09805,5.10385,5.06665,5.0754,5.08525,0
USDNOK,USDNOK,2008-07-18,5.0762,5.0973,5.07005,5.0831,5.0836749999999995,0
USDNOK,USDNOK,2008-07-21,5.0833,5.0906,5.05845,5.0615,5.0745249999999995,0
USDNOK,USDNOK,2008-07-22,5.05725,5.1164,5.0486,5.1055,5.0825,0
USDNOK,USDNOK,2008-07-23,5.1075,5.1653,5.0998,5.1524,5.13255,0
USDNOK,USDNOK,2008-07-24,5.15475,5.18385,5.15025,5.1687,5.16705,0
USDNOK,USDNOK,2008-07-25,5.1752,5.17735,5.13045,5.14625,5.1539,0
USDNOK,USDNOK,2008-07-28,5.1479,5.1545,5.125,5.1322,5.139749999999999,0
USDNOK,USDNOK,2008-07-29,5.1325,5.1923,5.124,5.1815,5.15815,0
USDNOK,USDNOK,2008-07-30,5.18115,5.1902,5.14385,5.15365,5.167025,0
USDNOK,USDNOK,2008-07-31,5.15075,5.15335,5.1105,5.13235,5.131925,0
USDNOK,USDNOK,2008-08-01,5.14355,5.15585,5.1276,5.139,5.141725,0
USDNOK,USDNOK,2008-08-04,5.14125,5.14615,5.11735,5.12945,5.13175,0
USDNOK,USDNOK,2008-08-05,5.1311,5.20345,5.1289,5.20135,5.166175,0
USDNOK,USDNOK,2008-08-06,5.2011,5.21585,5.1758,5.21305,5.195824999999999,0
USDNOK,USDNOK,2008-08-07,5.2137,5.2228,5.1584,5.21715,5.1906,0
USDNOK,USDNOK,2008-08-08,5.21575,5.36045,5.21555,5.35885,5.288,0
USDNOK,USDNOK,2008-08-11,5.3813,5.3897,5.31025,5.37605,5.349975000000001,0
USDNOK,USDNOK,2008-08-12,5.37945,5.4157,5.35315,5.3687,5.384425,0
USDNOK,USDNOK,2008-08-13,5.36945,5.3998,5.34145,5.38385,5.370625,0
USDNOK,USDNOK,2008-08-14,5.38335,5.4117,5.3548,5.39165,5.38325,0
USDNOK,USDNOK,2008-08-15,5.39865,5.4566,5.39515,5.4257,5.425875,0
USDNOK,USDNOK,2008-08-18,5.42675,5.4288,5.39225,5.41715,5.410525,0
USDNOK,USDNOK,2008-08-19,5.41545,5.43935,5.37605,5.383,5.4077,0
