full_name,ticker,date,open,high,low,close,average_price,volume
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-23,24.875,25.095,24.375,24.895,24.735,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-24,25.115,25.3,24.815,25.06,25.0575,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-25,25.17,25.375,25.055,25.11,25.215,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-28,25.245,25.33,25.04,25.165,25.185,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-29,25.255,25.395,25.135,25.23,25.265,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-30,25.225,25.3,24.96,24.98,25.130000000000003,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-05-31,24.96,25.04,24.675,24.81,24.8575,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-01,24.795,24.855,24.14,24.42,24.497500000000002,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-06,24.585,24.86,24.54,24.85,24.7,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-07,25.04,25.285,25.02,25.075,25.1525,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-08,24.915,25.045,24.485,25.025,24.765,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-11,25.54,25.555,25.1,25.125,25.3275,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-12,24.94,25.195,24.84,25.195,25.0175,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-13,25.19,25.315,24.94,25.315,25.1275,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-14,25.09,25.325,24.89,25.31,25.1075,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-15,25.355,25.455,25.33,25.43,25.3925,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-18,25.64,25.665,25.375,25.64,25.52,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-19,25.585,25.93,25.535,25.93,25.7325,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-20,25.78,25.875,25.735,25.785,25.805,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-21,25.71,25.895,25.54,25.645,25.7175,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-22,25.225,25.36,25.205,25.29,25.2825,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-25,25.23,25.23,24.935,25.075,25.0825,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-26,25.015,25.105,24.925,25.08,25.015,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-27,25.135,25.365,25.09,25.365,25.2275,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-28,25.32,25.32,24.975,25.16,25.1475,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-06-29,25.605,26.05,25.52,25.855,25.785,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-07-02,25.835,25.98,25.77,25.8,25.875,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-07-03,25.895,26.235,25.55,26.235,25.8925,0
Vanguard S&P 500 UCITS ETF ,VUSD,2012-07-04,26.1,26.19,26.03,26.19,26.11,0
