full_name,ticker,date,open,high,low,close,average_price,volume
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-07-25,80.365,80.55,79.71,79.87,80.13,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-07-26,79.915,80.145,79.87,80.09,80.0075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-07-29,80.315,80.375,79.905,79.985,80.14,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-07-30,80.105,80.105,79.475,79.63,79.78999999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-07-31,79.93,79.94,79.655,79.69,79.7975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-01,78.695,79.635,78.695,79.635,79.16499999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-02,78.06,78.34,77.205,77.415,77.77250000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-05,76.765,77.015,75.735,75.925,76.375,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-06,75.935,76.22,75.45,75.8,75.83500000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-07,76.35,76.565,75.145,75.64,75.85499999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-08,76.77,77.375,76.46,77.0,76.91749999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-09,77.475,77.555,76.735,76.8,77.14500000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-12,77.26,77.54,76.395,76.43,76.9675,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-13,76.29,77.56,75.82,77.08,76.69,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-14,77.165,77.165,75.36,75.61,76.2625,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-15,75.865,75.89,74.56,75.155,75.225,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-16,75.65,76.3,75.59,76.23,75.945,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-19,76.93,77.235,76.76,77.115,76.9975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-20,77.08,77.275,76.54,76.81,76.9075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-21,77.205,77.37,76.695,77.24,77.0325,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-22,77.135,77.39,76.125,76.125,76.7575,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-23,77.235,77.375,76.055,76.1,76.715,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-27,76.195,76.65,75.89,76.225,76.27000000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-28,76.16,76.39,75.59,76.335,75.99000000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-29,76.205,77.21,76.05,77.175,76.63,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-08-30,77.21,77.825,77.04,77.24,77.4325,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-02,77.005,77.42,77.005,77.08,77.2125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-03,77.15,77.15,76.525,76.865,76.8375,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-04,77.575,77.875,77.475,77.785,77.675,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-05,78.35,79.01,78.245,78.82,78.6275,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-06,78.92,79.1,78.765,78.975,78.9325,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-09,79.1,79.27,78.965,79.07,79.1175,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-10,78.865,79.125,78.54,78.67,78.83250000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-11,79.22,79.475,79.055,79.38,79.265,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-12,79.805,80.145,78.44,79.935,79.29249999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-13,80.125,80.335,79.975,80.205,80.155,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-16,79.7,79.865,79.555,79.725,79.71000000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-17,79.55,79.78,79.39,79.74,79.58500000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-18,79.825,79.88,79.575,79.705,79.72749999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-19,79.6,80.275,79.365,80.2,79.82,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-20,80.12,80.225,79.93,80.045,80.0775,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-23,79.815,79.96,79.2,79.58,79.58,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-24,79.805,79.985,79.47,79.48,79.72749999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-25,79.01,79.055,78.47,78.96,78.7625,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-26,79.035,79.565,78.885,79.015,79.225,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-27,79.155,79.47,79.04,79.325,79.255,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-09-30,79.03,79.17,78.775,79.095,78.9725,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-01,79.34,79.455,78.42,78.62,78.9375,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-02,78.235,78.26,76.84,76.84,77.55000000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-03,77.16,77.365,76.36,77.115,76.8625,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-04,77.37,78.0,77.175,78.0,77.5875,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-07,78.255,78.475,77.805,78.41,78.14,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-08,78.465,78.55,77.12,77.15,77.83500000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-09,77.18,78.005,77.075,77.59,77.53999999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-10,77.73,78.52,77.43,78.43,77.975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-11,78.71,79.845,78.61,79.845,79.22749999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-14,79.36,79.395,78.805,79.22,79.1,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-15,79.595,80.095,79.405,79.975,79.75,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-16,79.88,80.13,79.655,79.895,79.8925,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-17,79.885,80.57,79.79,80.105,80.18,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-18,79.985,80.225,79.81,80.05,80.0175,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2019-10-21,80.135,80.465,80.035,80.32,80.25,0
