full_name,ticker,date,open,high,low,close,average_price,volume
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 16:00:00,5.717,5.717,5.675,5.675,5.696,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 17:00:00,5.675,5.677,5.6725,5.674,5.6747499999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 18:00:00,5.674,5.681,5.674,5.681,5.6775,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 19:00:00,5.681,5.6835,5.677,5.6805,5.68025,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 20:00:00,5.6805,5.6835,5.6765,5.6765,5.68,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 21:00:00,5.6765,5.687,5.6765,5.6835,5.68175,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 22:00:00,5.6835,5.6895,5.68,5.6855,5.684749999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-05 23:00:00,5.6855,5.6915,5.684,5.688,5.687749999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 00:00:00,5.688,5.6905,5.6815,5.685,5.686,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 16:00:00,5.727,5.727,5.692,5.7105,5.7095,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 17:00:00,5.7105,5.729,5.708,5.7135,5.718500000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 18:00:00,5.7135,5.7155,5.713,5.7135,5.71425,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 19:00:00,5.7135,5.7135,5.704,5.706,5.70875,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 20:00:00,5.706,5.7165,5.703,5.713,5.70975,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 21:00:00,5.713,5.7165,5.6935,5.709,5.705,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 22:00:00,5.709,5.745,5.695,5.7165,5.720000000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-06 23:00:00,5.7165,5.724,5.6975,5.7065,5.71075,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-07 00:00:00,5.7065,5.7215,5.589,5.589,5.6552500000000006,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 16:00:00,5.966,6.0255,5.71,5.768,5.86775,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 17:00:00,5.768,6.0095,5.7075,5.7465,5.858499999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 18:00:00,5.7465,5.77,5.712,5.753,5.741,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 19:00:00,5.753,5.783,5.753,5.7605,5.768000000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 20:00:00,5.7605,5.764,5.747,5.753,5.7555,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 21:00:00,5.753,5.77,5.7455,5.7455,5.75775,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 22:00:00,5.7455,5.749,5.7415,5.7415,5.74525,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-09 23:00:00,5.7415,5.7515,5.7365,5.7365,5.744,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 00:00:00,5.7365,5.764,5.7355,5.7375,5.749750000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 16:00:00,5.71,5.7455,5.6905,5.691,5.718,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 17:00:00,5.691,5.731,5.6855,5.6875,5.70825,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 18:00:00,5.6875,5.6965,5.6685,5.6695,5.6825,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 19:00:00,5.6695,5.682,5.6695,5.6815,5.675750000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 20:00:00,5.6815,5.7125,5.6805,5.686,5.6965,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 21:00:00,5.686,5.6985,5.671,5.696,5.68475,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 22:00:00,5.696,5.708,5.6955,5.7075,5.7017500000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-10 23:00:00,5.7075,5.7115,5.6885,5.691,5.7,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 00:00:00,5.691,5.701,5.6835,5.687,5.69225,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 16:00:00,5.7035,5.717,5.669,5.6765,5.693,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 17:00:00,5.6765,5.68,5.6745,5.679,5.67725,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 18:00:00,5.679,5.6815,5.6655,5.681,5.6735,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 19:00:00,5.681,5.6885,5.681,5.683,5.68475,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 20:00:00,5.683,5.692,5.681,5.691,5.6865000000000006,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 21:00:00,5.691,5.692,5.67,5.6875,5.681,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 22:00:00,5.6875,5.6935,5.6715,5.685,5.6825,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-11 23:00:00,5.685,5.685,5.672,5.674,5.6785,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 00:00:00,5.674,5.68,5.6575,5.6605,5.668749999999999,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 16:00:00,5.6525,5.655,5.6135,5.6235,5.63425,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 17:00:00,5.6235,5.638,5.615,5.6205,5.6265,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 18:00:00,5.6205,5.6395,5.6205,5.632,5.63,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 19:00:00,5.632,5.633,5.622,5.628,5.6274999999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 20:00:00,5.628,5.6285,5.5625,5.588,5.5954999999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 21:00:00,5.588,5.6085,5.5555,5.592,5.582000000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 22:00:00,5.592,5.592,5.349,5.5345,5.4704999999999995,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-12 23:00:00,5.5345,5.577,5.5065,5.5205,5.54175,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-13 00:00:00,5.5205,5.557,5.5005,5.5005,5.5287500000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-13 16:00:00,5.4965,5.5635,5.474,5.5205,5.518750000000001,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-13 17:00:00,5.5205,5.523,5.501,5.521,5.5120000000000005,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-13 18:00:00,5.521,5.522,5.52,5.522,5.521,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-13 19:00:00,5.522,5.523,5.5215,5.523,5.52225,0
iShares Core Global Aggregate Bond UCITS ETF,AGGU,2020-03-13 20:00:00,5.523,5.5445,5.5225,5.5445,5.5335,0
