full_name,ticker,date,open,high,low,close,average_price,volume
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 16:24:30,303.015,304.47,302.43,304.09,303.45000000000005,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 17:00:00,304.09,305.56,303.67,304.765,304.615,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 18:00:00,304.765,305.51,304.465,304.68,304.98749999999995,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 19:00:00,304.68,305.35,304.195,305.235,304.77250000000004,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 20:00:00,305.235,306.755,304.615,305.245,305.685,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 21:00:00,305.245,305.925,303.595,304.785,304.76,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 22:00:00,304.785,306.47,302.355,303.405,304.4125,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-04 23:00:00,303.405,306.455,302.285,303.735,304.37,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 00:00:00,303.735,308.3,303.08,307.12,305.69,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 16:00:00,307.93,308.05,306.53,306.585,307.28999999999996,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 17:00:00,306.585,306.66,305.45,306.05,306.055,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 18:00:00,306.05,306.205,304.085,304.365,305.145,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 19:00:00,304.365,305.47,303.785,304.905,304.62750000000005,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 20:00:00,304.905,305.57,304.125,304.64,304.84749999999997,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 21:00:00,304.64,305.135,302.75,304.33,303.9425,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 22:00:00,304.33,305.65,302.34,303.475,303.995,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-05 23:00:00,303.475,306.31,302.935,304.935,304.6225,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 00:00:00,304.935,334.855,304.82,310.05,319.8375,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 16:00:00,298.12,298.975,296.66,297.665,297.8175,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 17:00:00,297.665,299.055,294.76,294.765,296.9075,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 18:00:00,294.765,295.32,291.9,293.305,293.61,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 19:00:00,293.305,294.51,292.24,293.525,293.375,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 20:00:00,293.525,294.47,290.835,292.265,292.65250000000003,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 21:00:00,292.265,294.075,291.07,292.335,292.5725,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 22:00:00,292.335,294.06,290.005,292.305,292.0325,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-06 23:00:00,292.305,297.17,291.33,296.065,294.25,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-07 00:00:00,296.065,334.855,292.84,295.5,313.84749999999997,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 16:00:00,282.185,286.1,273.655,286.1,279.8775,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 17:00:00,284.51,287.465,276.38,278.135,281.9225,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 18:00:00,278.135,286.8,277.32,278.125,282.06,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 19:00:00,278.125,279.22,275.52,276.945,277.37,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 20:00:00,276.945,276.945,274.52,276.475,275.73249999999996,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 21:00:00,276.475,280.92,271.42,279.155,276.17,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 22:00:00,279.155,287.35,276.93,277.52,282.14,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-09 23:00:00,277.52,283.475,276.795,282.165,280.135,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 00:00:00,282.165,284.8,275.1,281.5,279.95000000000005,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 16:00:00,280.975,284.915,280.06,284.835,282.4875,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 17:00:00,284.835,290.405,283.92,286.9,287.1625,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 18:00:00,286.9,290.545,285.68,286.825,288.1125,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 19:00:00,286.825,289.925,284.57,284.975,287.2475,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 20:00:00,284.975,289.275,281.255,283.335,285.265,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 21:00:00,283.335,331.6,279.905,281.7,305.7525,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 22:00:00,281.7,284.105,277.535,277.65,280.82000000000005,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-10 23:00:00,277.65,329.02,272.355,274.45,300.6875,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 00:00:00,274.45,328.06,274.375,277.15,301.2175,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 16:00:00,280.045,283.23,278.265,282.095,280.7475,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 17:00:00,282.095,282.315,279.605,280.785,280.96000000000004,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 18:00:00,280.785,281.71,278.715,280.37,280.2125,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 19:00:00,280.37,280.71,277.3,278.765,279.005,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 20:00:00,278.765,279.47,275.83,276.035,277.65,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 21:00:00,276.035,281.035,275.815,279.37,278.425,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 22:00:00,279.37,280.47,276.155,277.325,278.3125,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-11 23:00:00,277.325,278.38,275.075,276.815,276.72749999999996,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 00:00:00,276.815,283.14,275.94,283.14,279.53999999999996,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 16:00:00,262.835,263.865,259.73,260.44,261.7975,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 17:00:00,260.44,266.03,259.48,261.455,262.755,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 18:00:00,261.455,262.12,259.375,261.785,260.7475,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 19:00:00,261.785,267.89,259.69,259.82,263.78999999999996,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 20:00:00,259.82,267.29,254.655,255.17,260.9725,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 21:00:00,255.17,266.02,249.62,257.94,257.82,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 22:00:00,257.94,266.06,252.275,256.495,259.1675,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-12 23:00:00,256.495,264.49,250.035,251.675,257.2625,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 00:00:00,251.675,262.705,249.07,250.8,255.8875,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 16:00:00,258.525,259.415,252.355,253.4,255.885,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 17:00:00,253.4,257.81,252.175,257.46,254.9925,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 18:00:00,257.46,258.11,255.585,257.535,256.8475,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 19:00:00,257.535,267.325,257.32,259.48,262.3225,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 20:00:00,259.48,264.855,259.255,261.645,262.055,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 21:00:00,261.645,263.97,254.23,255.76,259.1,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 22:00:00,255.76,267.645,253.155,253.37,260.4,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-13 23:00:00,253.37,264.995,248.645,252.385,256.82,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-14 00:00:00,252.385,262.885,249.88,252.6,256.3825,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 16:00:00,249.75,256.845,243.235,244.25,250.04000000000002,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 17:00:00,244.25,245.5,242.055,243.35,243.7775,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 18:00:00,243.35,243.91,240.125,241.135,242.01749999999998,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 19:00:00,241.135,243.585,240.335,241.51,241.96,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 20:00:00,241.51,243.795,238.67,239.03,241.2325,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 21:00:00,239.03,251.8,233.95,244.51,242.875,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 22:00:00,244.51,256.505,236.565,249.51,246.535,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-16 23:00:00,249.51,264.14,248.995,253.335,256.5675,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-17 00:00:00,253.335,262.99,246.0,252.0,254.495,0
iShares Core S&P 500 UCITS ETF,CSPX,2020-03-17 16:00:00,258.565,261.23,243.325,243.665,252.2775,0
