full_name,ticker,date,open,high,low,close,average_price,volume
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 16:00:00,6.8575,6.904,6.852,6.8865,6.878,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 17:00:00,6.8865,6.908,6.883,6.9055,6.8955,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 18:00:00,6.9055,6.933,6.9055,6.9305,6.91925,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 19:00:00,6.9305,6.931,6.9085,6.91,6.9197500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 20:00:00,6.91,6.9395,6.908,6.9325,6.92375,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 21:00:00,6.9325,6.959,6.9225,6.955,6.9407499999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 22:00:00,6.955,6.969,6.9485,6.9675,6.95875,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-05 23:00:00,6.9675,6.9785,6.9505,6.9775,6.9645,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 00:00:00,6.9775,6.9775,6.957,6.9675,6.96725,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 16:00:00,7.0685,7.27,7.0595,7.268,7.16475,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 17:00:00,7.268,7.4045,7.0665,7.3045,7.2355,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 18:00:00,7.354,7.363,7.077,7.261,7.220000000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 19:00:00,7.261,7.31,7.2325,7.234,7.27125,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 20:00:00,7.234,7.404,7.2205,7.2495,7.312250000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 21:00:00,7.3285,7.38,7.239,7.314,7.3095,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 22:00:00,7.314,7.476,7.314,7.4295,7.395,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-06 23:00:00,7.4295,7.432,7.2795,7.306,7.3557500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-07 00:00:00,7.306,7.3815,7.306,7.361,7.34375,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-09 16:00:00,7.9745,8.0205,7.8845,7.8855,7.952500000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-09 17:00:00,7.8855,7.96,7.8805,7.9425,7.920249999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-09 18:00:00,7.9425,7.991,7.9375,7.969,7.96425,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-09 19:00:00,7.969,8.0425,7.9665,8.026,8.0045,0
iShares $ Treasury Bond 20+yr UCITS ETF Acc,DTLA,2020-03-09 20:00:00,8.026,8.0275,7.762,7.9625,7.89475,0
