full_name,ticker,date,open,high,low,close,average_price,volume
CAC30_CFD,IBFR40,2020-03-12 16:00:00,4321.9,4370.3,4273.375,4325.64,4321.8375,0
CAC30_CFD,IBFR40,2020-03-12 17:00:00,4325.64,4369.28,4300.25,4351.53,4334.764999999999,0
CAC30_CFD,IBFR40,2020-03-12 18:00:00,4351.53,4389.53,4326.335,4389.28,4357.9325,0
CAC30_CFD,IBFR40,2020-03-12 19:00:00,4389.28,4390.53,4314.815,4318.15,4352.6725,0
CAC30_CFD,IBFR40,2020-03-12 20:00:00,4318.15,4348.335,4206.685,4242.95,4277.51,0
CAC30_CFD,IBFR40,2020-03-12 21:00:00,4242.95,4252.96,4074.36,4183.2,4163.66,0
CAC30_CFD,IBFR40,2020-03-12 22:00:00,4184.21,4184.21,4117.185,4168.73,4150.6975,0
CAC30_CFD,IBFR40,2020-03-12 23:00:00,4168.73,4168.73,4017.6,4053.38,4093.165,0
CAC30_CFD,IBFR40,2020-03-13 00:00:00,4053.38,4137.495,3997.135,4128.23,4067.315,0
CAC30_CFD,IBFR40,2020-03-13 01:00:00,4128.23,4216.79,4039.22,4120.67,4128.005,0
CAC30_CFD,IBFR40,2020-03-13 02:00:00,4120.67,4133.69,4034.79,4058.08,4084.24,0
CAC30_CFD,IBFR40,2020-03-13 03:00:00,4058.08,4093.89,4007.74,4007.99,4050.8149999999996,0
CAC30_CFD,IBFR40,2020-03-13 04:00:00,4007.99,4017.26,3942.375,3964.41,3979.8175,0
CAC30_CFD,IBFR40,2020-03-13 16:00:00,4184.33,4243.92,4074.885,4096.97,4159.4025,0
CAC30_CFD,IBFR40,2020-03-13 17:00:00,4096.97,4208.625,4076.98,4193.61,4142.8025,0
CAC30_CFD,IBFR40,2020-03-13 18:00:00,4193.61,4251.52,4177.93,4240.01,4214.725,0
CAC30_CFD,IBFR40,2020-03-13 19:00:00,4240.01,4376.73,4239.505,4326.77,4308.1175,0
CAC30_CFD,IBFR40,2020-03-13 20:00:00,4326.77,4436.685,4309.75,4378.29,4373.217500000001,0
CAC30_CFD,IBFR40,2020-03-13 21:00:00,4378.29,4386.8,4236.755,4242.27,4311.7775,0
CAC30_CFD,IBFR40,2020-03-13 22:00:00,4242.27,4315.69,4171.71,4179.22,4243.7,0
CAC30_CFD,IBFR40,2020-03-13 23:00:00,4179.22,4214.04,4049.78,4108.43,4131.91,0
CAC30_CFD,IBFR40,2020-03-14 00:00:00,4106.42,4203.75,4070.635,4155.25,4137.1925,0
CAC30_CFD,IBFR40,2020-03-14 01:00:00,4155.25,4240.75,4147.75,4238.0,4194.25,0
CAC30_CFD,IBFR40,2020-03-14 02:00:00,4238.0,4238.5,4157.5,4219.5,4198.0,0
CAC30_CFD,IBFR40,2020-03-14 03:00:00,4219.5,4345.0,4187.0,4327.5,4266.0,0
CAC30_CFD,IBFR40,2020-03-14 04:00:00,4327.5,4361.0,4288.25,4307.5,4324.625,0
CAC30_CFD,IBFR40,2020-03-16 16:00:00,3848.11,3918.96,3678.37,3764.99,3798.665,0
CAC30_CFD,IBFR40,2020-03-16 17:00:00,3764.99,3805.55,3704.155,3754.48,3754.8525,0
CAC30_CFD,IBFR40,2020-03-16 18:00:00,3754.48,3777.75,3739.46,3759.98,3758.605,0
CAC30_CFD,IBFR40,2020-03-16 19:00:00,3759.98,3782.01,3706.655,3709.66,3744.3325000000004,0
CAC30_CFD,IBFR40,2020-03-16 20:00:00,3709.66,3740.95,3629.55,3676.36,3685.25,0
CAC30_CFD,IBFR40,2020-03-16 21:00:00,3676.36,3760.23,3637.31,3754.72,3698.77,0
CAC30_CFD,IBFR40,2020-03-16 22:00:00,3754.72,3860.615,3721.925,3832.33,3791.27,0
CAC30_CFD,IBFR40,2020-03-16 23:00:00,3832.33,3963.01,3809.55,3909.19,3886.28,0
CAC30_CFD,IBFR40,2020-03-17 00:00:00,3909.19,3946.99,3850.68,3863.29,3898.835,0
