full_name,ticker,date,open,high,low,close,average_price,volume
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 16:00:00,5.8065,5.825,5.7965,5.8235,5.8107500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 17:00:00,5.8235,5.8445,5.8215,5.8415,5.833,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 18:00:00,5.8415,5.865,5.8415,5.862,5.85325,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 19:00:00,5.862,5.862,5.8425,5.844,5.85225,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 20:00:00,5.844,5.8695,5.843,5.863,5.85625,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 21:00:00,5.863,5.8905,5.856,5.881,5.8732500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 22:00:00,5.881,5.8945,5.8765,5.893,5.8855,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-05 23:00:00,5.893,5.903,5.8805,5.898,5.89175,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 00:00:00,5.898,6.047,5.884,6.047,5.9655000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 16:00:00,5.85,6.151,5.85,6.1465,6.0005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 17:00:00,6.1465,6.2425,6.113,6.1785,6.17775,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 18:00:00,6.1785,6.191,6.1255,6.1405,6.15825,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 19:00:00,6.1405,6.1815,6.115,6.119,6.14825,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 20:00:00,6.119,6.237,6.104,6.223,6.1705000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 21:00:00,6.223,6.259,6.171,6.1815,6.215,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 22:00:00,6.1815,6.318,6.1815,6.2855,6.24975,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-06 23:00:00,6.2855,6.2855,6.15,6.1785,6.2177500000000006,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-07 00:00:00,6.1785,6.244,6.09,6.09,6.167,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 16:00:00,6.951,6.9625,6.4635,6.6635,6.713,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 17:00:00,6.6635,6.7255,6.6525,6.7155,6.689,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 18:00:00,6.7155,6.744,6.6975,6.7245,6.72075,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 19:00:00,6.7245,6.816,6.7235,6.7805,6.76975,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 20:00:00,6.7805,6.9205,6.636,6.732,6.77825,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 21:00:00,6.732,6.764,6.6025,6.6045,6.68325,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 22:00:00,6.6045,6.618,6.539,6.5745,6.5785,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-09 23:00:00,6.5745,6.606,6.497,6.505,6.5515,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 00:00:00,6.505,6.582,6.27,6.27,6.426,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 16:00:00,6.419,6.4245,6.3175,6.329,6.371,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 17:00:00,6.329,6.3375,6.2325,6.2495,6.285,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 18:00:00,6.2495,6.2495,6.1385,6.1425,6.194,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 19:00:00,6.1425,6.2885,6.14,6.271,6.21425,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 20:00:00,6.271,6.381,6.267,6.338,6.324,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 21:00:00,6.338,6.4295,6.327,6.402,6.3782499999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 22:00:00,6.402,6.4605,6.3705,6.454,6.4155,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-10 23:00:00,6.454,6.481,6.4115,6.4385,6.44625,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 00:00:00,6.4385,6.44,6.26,6.26,6.35,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 16:00:00,6.267,6.3065,6.2305,6.239,6.2684999999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 17:00:00,6.239,6.257,6.209,6.2475,6.233,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 18:00:00,6.2475,6.2665,6.24,6.257,6.2532499999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 19:00:00,6.257,6.276,6.245,6.2455,6.2605,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 20:00:00,6.2455,6.291,6.22,6.254,6.2555,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 21:00:00,6.254,6.28,6.2145,6.2725,6.24725,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 22:00:00,6.2725,6.2805,6.2205,6.2205,6.250500000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-11 23:00:00,6.2205,6.2305,6.156,6.1615,6.19325,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 00:00:00,6.1615,6.315,6.1255,6.315,6.22025,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 16:00:00,6.1985,6.2,5.942,6.1045,6.071,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 17:00:00,6.1045,6.105,6.0175,6.023,6.06125,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 18:00:00,6.023,6.1,6.0005,6.035,6.05025,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 19:00:00,6.035,6.136,6.0005,6.047,6.06825,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 20:00:00,6.047,6.059,6.0255,6.03,6.04225,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 21:00:00,6.03,6.0995,6.005,6.005,6.05225,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 22:00:00,6.005,6.03,5.934,5.935,5.982,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-12 23:00:00,5.935,5.935,5.68,5.7475,5.807499999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 00:00:00,5.7475,5.8575,5.654,5.76,5.75575,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 16:00:00,5.8495,5.995,5.65,5.7325,5.8225,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 17:00:00,5.7325,5.7955,5.624,5.695,5.70975,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 18:00:00,5.695,5.759,5.6875,5.7495,5.72325,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 19:00:00,5.7495,5.7665,5.72,5.737,5.74325,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 20:00:00,5.737,5.7745,5.698,5.7355,5.73625,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 21:00:00,5.7355,5.7565,5.6955,5.72,5.726,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 22:00:00,5.72,5.8875,5.5785,5.839,5.7330000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-13 23:00:00,5.839,5.845,5.741,5.741,5.792999999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-14 00:00:00,5.808,5.875,5.7465,5.825,5.8107500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 16:00:00,6.025,6.0435,5.9045,5.936,5.974,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 17:00:00,5.936,5.9655,5.8795,5.9275,5.922499999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 18:00:00,5.9275,5.965,5.8795,5.9365,5.92225,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 19:00:00,5.9365,6.016,5.8575,5.9255,5.93675,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 20:00:00,5.9255,5.947,5.8945,5.9345,5.92075,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 21:00:00,5.9345,6.001,5.8695,5.9775,5.93525,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 22:00:00,5.9775,5.983,5.8845,5.931,5.93375,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-16 23:00:00,5.931,5.9645,5.8875,5.957,5.926,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 00:00:00,5.957,6.38,5.9495,6.38,6.16475,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 16:00:00,5.9785,6.082,5.95,6.073,6.016,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 17:00:00,6.073,6.123,6.064,6.101,6.093500000000001,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 18:00:00,6.101,6.101,6.051,6.078,6.0760000000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 19:00:00,6.078,6.0795,6.0385,6.0395,6.059,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 20:00:00,6.0395,6.1175,6.0385,6.0545,6.077999999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 21:00:00,6.0545,6.1255,6.0495,6.066,6.0875,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 22:00:00,6.066,6.153,6.066,6.098,6.1095,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-17 23:00:00,6.098,6.1295,6.0275,6.061,6.0785,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 00:00:00,6.061,6.175,5.9465,6.175,6.0607500000000005,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 16:00:00,5.702,5.7615,5.4265,5.4925,5.593999999999999,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 17:00:00,5.4925,5.5605,5.463,5.489,5.51175,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 18:00:00,5.489,5.6475,5.4805,5.594,5.564,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 19:00:00,5.594,5.7005,5.527,5.6235,5.61375,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 20:00:00,5.6235,5.755,5.538,5.5955,5.6465,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 21:00:00,5.5955,5.6775,5.5425,5.6465,5.61,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 22:00:00,5.6465,5.7475,5.5505,5.554,5.649,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-18 23:00:00,5.554,5.6265,5.45,5.5375,5.53825,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 00:00:00,5.5375,5.625,5.453,5.605,5.539,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 16:00:00,5.325,5.6095,5.325,5.4855,5.46725,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 17:00:00,5.4855,5.5475,5.425,5.5325,5.48625,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 18:00:00,5.5325,5.5755,5.344,5.5115,5.45975,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 19:00:00,5.5115,5.5875,5.493,5.535,5.54025,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 20:00:00,5.535,5.5945,5.3785,5.5115,5.4864999999999995,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 21:00:00,5.5115,5.5825,5.4815,5.5125,5.532,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 22:00:00,5.5125,5.605,5.51,5.5515,5.5575,0
iShares $ Treasury Bond 20+yr UCITS ETF Dist,IDTL,2020-03-19 23:00:00,5.5515,5.605,5.524,5.5405,5.564500000000001,0
