full_name,ticker,date,open,high,low,close,average_price,volume
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 16:00:00,81.515,81.605,81.095,81.095,81.35,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 17:00:00,81.095,81.13,80.855,80.955,80.9925,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 18:00:00,80.955,80.955,80.455,80.535,80.705,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 19:00:00,80.535,80.78,80.4,80.61,80.59,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 20:00:00,80.61,80.755,80.45,80.545,80.60249999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 21:00:00,80.545,80.63,80.12,80.43,80.375,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 22:00:00,80.43,80.745,80.025,80.295,80.385,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-05 23:00:00,80.295,80.77,80.19,80.555,80.47999999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 00:00:00,80.555,81.08,80.53,80.785,80.805,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 16:00:00,79.145,79.43,78.67,79.0,79.05000000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 17:00:00,79.0,79.245,78.195,78.32,78.72,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 18:00:00,78.32,78.405,77.65,78.045,78.0275,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 19:00:00,78.045,78.365,77.885,78.09,78.125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 20:00:00,78.09,78.295,77.52,77.785,77.9075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 21:00:00,77.785,78.245,77.57,77.81,77.9075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 22:00:00,77.81,102.625,77.375,77.765,90.0,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-06 23:00:00,77.765,78.8,77.615,78.53,78.2075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-07 00:00:00,78.53,78.64,77.955,78.19,78.2975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 16:00:00,78.125,78.125,73.805,74.07,75.965,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 17:00:00,74.07,76.155,73.845,74.245,75.0,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 18:00:00,74.245,74.39,73.785,74.03,74.0875,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 19:00:00,74.03,74.285,73.35,73.74,73.8175,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 20:00:00,73.74,73.745,72.88,73.35,73.3125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 21:00:00,73.35,97.795,72.6,73.62,85.19749999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 22:00:00,73.62,79.965,73.335,73.595,76.65,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-09 23:00:00,73.595,74.665,73.36,74.39,74.0125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 00:00:00,74.39,79.925,73.855,79.925,76.89,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 16:00:00,74.46,75.525,74.115,75.395,74.82,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 17:00:00,75.395,76.085,75.03,76.08,75.5575,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 18:00:00,76.08,76.26,75.73,75.905,75.995,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 19:00:00,75.905,76.09,75.42,75.47,75.755,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 20:00:00,75.47,75.715,74.635,75.14,75.17500000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 21:00:00,75.14,75.35,74.28,74.585,74.815,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 22:00:00,74.585,75.165,73.58,73.585,74.3725,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-10 23:00:00,73.585,74.145,72.51,72.86,73.3275,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 00:00:00,72.86,74.425,72.86,74.425,73.6425,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 16:00:00,74.19,74.665,73.405,74.325,74.035,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 17:00:00,74.325,74.555,73.695,73.96,74.125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 18:00:00,73.96,74.235,73.525,73.83,73.88,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 19:00:00,73.83,74.08,73.28,73.615,73.68,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 20:00:00,73.615,73.705,73.005,73.005,73.35499999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 21:00:00,73.005,73.945,72.94,73.585,73.4425,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 22:00:00,73.585,73.91,72.85,73.105,73.38,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-11 23:00:00,73.105,73.46,72.55,72.88,73.005,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 00:00:00,72.88,73.475,72.695,72.83,73.085,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 16:00:00,69.325,69.585,68.365,68.52,68.975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 17:00:00,68.52,69.015,68.385,68.785,68.7,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 18:00:00,68.785,69.01,68.385,69.005,68.6975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 19:00:00,69.005,69.01,68.405,68.49,68.70750000000001,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 20:00:00,68.49,69.1,67.86,69.08,68.47999999999999,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 21:00:00,69.08,69.615,66.7,67.43,68.1575,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 22:00:00,67.43,68.0,66.07,66.71,67.035,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-12 23:00:00,66.71,67.605,64.84,65.225,66.2225,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 00:00:00,65.225,67.325,64.69,67.1,66.0075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 16:00:00,67.435,68.32,66.155,66.415,67.2375,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 17:00:00,66.415,67.68,66.145,67.65,66.9125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 18:00:00,67.65,67.85,67.145,67.615,67.4975,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 19:00:00,67.615,68.575,67.555,68.05,68.065,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 20:00:00,68.05,69.21,68.05,69.05,68.63,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 21:00:00,69.05,70.08,67.05,67.39,68.565,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 22:00:00,67.39,68.55,66.275,66.43,67.4125,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-13 23:00:00,66.43,67.755,65.115,65.715,66.435,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-14 00:00:00,65.715,66.45,65.27,66.285,65.86,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 16:00:00,65.1,65.3,63.015,63.43,64.1575,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 17:00:00,63.43,88.13,62.715,63.03,75.4225,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 18:00:00,63.03,63.04,62.515,62.685,62.7775,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 19:00:00,62.685,62.875,62.34,62.39,62.6075,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 20:00:00,62.39,65.825,61.715,61.875,63.77,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 21:00:00,61.875,65.855,61.125,62.94,63.49,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 22:00:00,62.94,64.76,62.28,63.915,63.52,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-16 23:00:00,63.915,65.66,63.85,64.78,64.755,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 00:00:00,64.78,65.205,64.2,64.465,64.7025,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 16:00:00,65.54,67.065,63.135,63.235,65.1,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 17:00:00,63.235,63.795,61.785,62.375,62.79,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 18:00:00,62.375,64.15,62.22,64.06,63.185,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 19:00:00,64.06,64.27,62.42,62.525,63.345,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 20:00:00,62.525,65.73,62.27,63.34,64.0,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 21:00:00,63.34,66.19,61.665,61.775,63.927499999999995,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 22:00:00,61.775,63.645,61.595,63.335,62.620000000000005,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-17 23:00:00,63.335,64.685,63.16,64.49,63.9225,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-18 00:00:00,64.49,65.68,64.35,64.4,65.015,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-18 16:00:00,62.065,62.93,61.81,61.895,62.370000000000005,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-18 17:00:00,61.895,62.085,61.58,61.68,61.832499999999996,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-18 18:00:00,61.68,61.875,60.82,60.95,61.3475,0
Vanguard FTSE All-World UCITS ETF USD Acc,VWRA,2020-03-18 19:00:00,60.95,61.545,60.885,61.325,61.215,0
